cell,x,y,z,volume,initial,numerical,exact,error,absError
25,1.6666666666666701e-02,3.1666666666795018e-01,5.0000000000000003e-02,3.1250000000126852e-05,0.0000000000000000e+00,5.4234995293404042e-01,5.4389262614285949e-01,-1.5426732088190676e-03,1.5426732088190676e-03
26,1.6666666666669230e-02,3.3333333333468329e-01,5.0000000000000003e-02,3.1250000000127028e-05,0.0000000000000000e+00,5.0137681254456146e-01,4.9931476737361902e-01,2.0620451709424392e-03,2.0620451709424392e-03
27,8.3333333333352431e-03,3.4166666666806927e-01,5.0000000000000003e-02,3.1250000000137173e-05,0.0000000000000000e+00,4.8157126925556232e-01,4.7699524986590236e-01,4.5760193896599577e-03,4.5760193896599577e-03
28,8.3333333333352379e-03,3.5833333333480538e-01,5.0000000000000010e-02,3.1250000000137247e-05,0.0000000000000000e+00,4.2589867386186681e-01,4.3036357140350073e-01,-4.4648975416339276e-03,4.4648975416339276e-03
29,1.6666666666671739e-02,3.6666666666815251e-01,5.0000000000000003e-02,3.1250000000136407e-05,0.0000000000000000e+00,4.0441641286924851e-01,4.0617922463816475e-01,-1.7628117689162393e-03,1.7628117689162393e-03
30,1.6666666666674271e-02,3.8333333333488551e-01,5.0000000000000003e-02,3.1250000000136447e-05,0.0000000000000000e+00,3.6001992367801128e-01,3.5787681872082727e-01,2.1431049571840055e-03,2.1431049571840055e-03
31,8.3333333333377741e-03,3.9166666666827449e-01,5.0000000000000003e-02,3.1250000000146822e-05,0.0000000000000000e+00,3.3855538566139531e-01,3.3369247195536400e-01,4.8629137060313132e-03,4.8629137060313132e-03
32,8.3333333333377585e-03,4.0833333333501060e-01,5.0000000000000003e-02,3.1250000000146537e-05,0.0000000000000000e+00,2.7913071151804758e-01,2.8391801973368352e-01,-4.7873082156359437e-03,4.7873082156359437e-03
33,1.6666666666676790e-02,4.1666666666835461e-01,5.0000000000000003e-02,3.1250000000145772e-05,0.0000000000000000e+00,2.5652485307613793e-01,2.5846434259123774e-01,-1.9394895150998126e-03,1.9394895150998126e-03
34,1.6666666666679320e-02,4.3333333333508778e-01,5.0000000000000003e-02,3.1250000000146002e-05,0.0000000000000000e+00,2.0979819650081430e-01,2.0762675506599154e-01,2.1714414348227573e-03,2.1714414348227573e-03
35,8.3333333333402843e-03,4.4166666666847959e-01,5.0000000000000003e-02,3.1250000000156017e-05,0.0000000000000000e+00,1.8720316687118391e-01,1.8217307792339682e-01,5.0300889477870869e-03,5.0300889477870869e-03
36,8.3333333333402964e-03,4.5833333333521548e-01,5.0000000000000003e-02,3.1250000000156288e-05,0.0000000000000000e+00,1.2548964057844561e-01,1.3048146414808179e-01,-4.9918235696361779e-03,4.9918235696361779e-03
37,1.6666666666681838e-02,4.6666666666855677e-01,5.0000000000000003e-02,3.1250000000155523e-05,0.0000000000000000e+00,1.0231682880202160e-01,1.0438521063568978e-01,-2.0683818336681842e-03,2.0683818336681842e-03
38,1.6666666666684361e-02,4.8333333333528300e-01,5.0000000000000003e-02,3.1250000000129163e-05,0.0000000000000000e+00,5.4410565149023843e-02,5.2264231627718392e-02,2.1463335213054505e-03,2.1463335213054505e-03
39,8.3333333333427996e-03,4.9166666666867070e-01,5.0000000000000010e-02,3.1250000000138358e-05,0.0000000000000000e+00,3.1241395547942231e-02,2.6167978115180342e-02,5.0734174327618890e-03,5.0734174327618890e-03
40,8.3333333333428308e-03,5.0833333333531405e-01,5.0000000000000003e-02,3.1249999999846057e-05,0.0000000000000000e+00,-3.1241395560083471e-02,-2.6167978127690072e-02,-5.0734174323933991e-03,5.0734174323933991e-03
