i,j,x,y,initial,numerical,exact,error,absError
5,3,2.7500000000000002e-01,1.7499999999999999e-01,3.0901699437494751e-01,5.5011293022200003e-01,3.0901699437494706e-01,2.4109593584705297e-01,2.4109593584705297e-01
6,3,3.2500000000000001e-01,1.7499999999999999e-01,1.2246467991473532e-16,1.1783713289099999e-01,-3.6739403974420594e-16,1.1783713289100035e-01,1.1783713289100035e-01
7,3,3.7500000000000000e-01,1.7499999999999999e-01,-3.0901699437494773e-01,-3.2597338402699999e-01,-3.0901699437494778e-01,-1.6956389652052206e-02,1.6956389652052206e-02
8,3,4.2499999999999999e-01,1.7499999999999999e-01,-5.8778525229247303e-01,-7.3787535492599998e-01,-5.8778525229247336e-01,-1.5009010263352662e-01,1.5009010263352662e-01
9,3,4.7499999999999998e-01,1.7499999999999999e-01,-8.0901699437494679e-01,-1.0775489450000000e+00,-8.0901699437494767e-01,-2.6853195062505231e-01,2.6853195062505231e-01
10,3,5.2500000000000002e-01,1.7499999999999999e-01,-9.5105651629515353e-01,-1.3117445366200000e+00,-9.5105651629515364e-01,-3.6068802032484637e-01,3.6068802032484637e-01
11,3,5.7499999999999996e-01,1.7499999999999999e-01,-1.0000000000000000e+00,-1.4175374335299999e+00,-1.0000000000000000e+00,-4.1753743352999995e-01,4.1753743352999995e-01
12,3,6.2500000000000000e-01,1.7499999999999999e-01,-9.5105651629515364e-01,-1.3845718898799999e+00,-9.5105651629515353e-01,-4.3351537358484638e-01,4.3351537358484638e-01
13,3,6.7500000000000004e-01,1.7499999999999999e-01,-8.0901699437494701e-01,-1.2160748027799999e+00,-8.0901699437494679e-01,-4.0705780840505312e-01,4.0705780840505312e-01
14,3,7.2499999999999998e-01,1.7499999999999999e-01,-5.8778525229247403e-01,-9.2853984107999998e-01,-5.8778525229247358e-01,-3.4075458878752640e-01,3.4075458878752640e-01
15,3,7.7500000000000002e-01,1.7499999999999999e-01,-3.0901699437494762e-01,-5.5011293022200003e-01,-3.0901699437494717e-01,-2.4109593584705286e-01,2.4109593584705286e-01
16,3,8.2499999999999996e-01,1.7499999999999999e-01,-2.4492935982947064e-16,-1.1783713289099999e-01,2.4492935982947064e-16,-1.1783713289100024e-01,1.1783713289100024e-01
17,3,8.7500000000000000e-01,1.7499999999999999e-01,3.0901699437494717e-01,3.2597338402699999e-01,3.0901699437494762e-01,1.6956389652052373e-02,1.6956389652052373e-02
18,3,9.2500000000000004e-01,1.7499999999999999e-01,5.8778525229247358e-01,7.3787535492599998e-01,5.8778525229247403e-01,1.5009010263352596e-01,1.5009010263352596e-01
19,3,9.7499999999999998e-01,1.7499999999999999e-01,8.0901699437494679e-01,1.0775489450000000e+00,8.0901699437494701e-01,2.6853195062505297e-01,2.6853195062505297e-01
0,4,2.5000000000000001e-02,2.2500000000000001e-01,1.0000000000000000e+00,1.4175374335299999e+00,1.0000000000000000e+00,4.1753743352999995e-01,4.1753743352999995e-01
1,4,7.4999999999999997e-02,2.2500000000000001e-01,9.5105651629515364e-01,1.3845718898799999e+00,9.5105651629515342e-01,4.3351537358484649e-01,4.3351537358484649e-01
2,4,1.2500000000000000e-01,2.2500000000000001e-01,8.0901699437494745e-01,1.2160748027799999e+00,8.0901699437494723e-01,4.0705780840505268e-01,4.0705780840505268e-01
3,4,1.7499999999999999e-01,2.2500000000000001e-01,5.8778525229247325e-01,9.2853984107999998e-01,5.8778525229247280e-01,3.4075458878752718e-01,3.4075458878752718e-01
4,4,2.2500000000000001e-01,2.2500000000000001e-01,3.0901699437494751e-01,5.5011293022200003e-01,3.0901699437494706e-01,2.4109593584705297e-01,2.4109593584705297e-01
5,4,2.7500000000000002e-01,2.2500000000000001e-01,1.2246467991473532e-16,1.1783713289099999e-01,-3.6739403974420594e-16,1.1783713289100035e-01,1.1783713289100035e-01
6,4,3.2500000000000001e-01,2.2500000000000001e-01,-3.0901699437494773e-01,-3.2597338402699999e-01,-3.0901699437494778e-01,-1.6956389652052206e-02,1.6956389652052206e-02
7,4,3.7500000000000000e-01,2.2500000000000001e-01,-5.8778525229247303e-01,-7.3787535492599998e-01,-5.8778525229247336e-01,-1.5009010263352662e-01,1.5009010263352662e-01
8,4,4.2499999999999999e-01,2.2500000000000001e-01,-8.0901699437494734e-01,-1.0775489450000000e+00,-8.0901699437494767e-01,-2.6853195062505231e-01,2.6853195062505231e-01
9,4,4.7499999999999998e-01,2.2500000000000001e-01,-9.5105651629515353e-01,-1.3117445366200000e+00,-9.5105651629515364e-01,-3.6068802032484637e-01,3.6068802032484637e-01
10,4,5.2500000000000002e-01,2.2500000000000001e-01,-1.0000000000000000e+00,-1.4175374335299999e+00,-1.0000000000000000e+00,-4.1753743352999995e-01,4.1753743352999995e-01
11,4,5.7499999999999996e-01,2.2500000000000001e-01,-9.5105651629515364e-01,-1.3845718898799999e+00,-9.5105651629515375e-01,-4.3351537358484615e-01,4.3351537358484615e-01
12,4,6.2500000000000000e-01,2.2500000000000001e-01,-8.0901699437494756e-01,-1.2160748027799999e+00,-8.0901699437494679e-01,-4.0705780840505312e-01,4.0705780840505312e-01
13,4,6.7500000000000004e-01,2.2500000000000001e-01,-5.8778525229247336e-01,-9.2853984107999998e-01,-5.8778525229247358e-01,-3.4075458878752640e-01,3.4075458878752640e-01
14,4,7.2499999999999998e-01,2.2500000000000001e-01,-3.0901699437494762e-01,-5.5011293022200003e-01,-3.0901699437494717e-01,-2.4109593584705286e-01,2.4109593584705286e-01
15,4,7.7500000000000002e-01,2.2500000000000001e-01,-2.4492935982947064e-16,-1.1783713289099999e-01,2.4492935982947064e-16,-1.1783713289100024e-01,1.1783713289100024e-01
16,4,8.2499999999999996e-01,2.2500000000000001e-01,3.0901699437494717e-01,3.2597338402699999e-01,3.0901699437494762e-01,1.6956389652052373e-02,1.6956389652052373e-02
17,4,8.7500000000000000e-01,2.2500000000000001e-01,5.8778525229247358e-01,7.3787535492599998e-01,5.8778525229247403e-01,1.5009010263352596e-01,1.5009010263352596e-01
18,4,9.2500000000000004e-01,2.2500000000000001e-01,8.0901699437494778e-01,1.0775489450000000e+00,8.0901699437494812e-01,2.6853195062505186e-01,2.6853195062505186e-01
19,4,9.7499999999999998e-01,2.2500000000000001e-01,9.5105651629515353e-01,1.3117445366200000e+00,9.5105651629515364e-01,3.6068802032484637e-01,3.6068802032484637e-01
0,5,2.5000000000000001e-02,2.7500000000000002e-01,9.5105651629515353e-01,1.3845718898799999e+00,9.5105651629515342e-01,4.3351537358484649e-01,4.3351537358484649e-01
1,5,7.4999999999999997e-02,2.7500000000000002e-01,8.0901699437494745e-01,1.2160748027799999e+00,8.0901699437494723e-01,4.0705780840505268e-01,4.0705780840505268e-01
2,5,1.2500000000000000e-01,2.7500000000000002e-01,5.8778525229247325e-01,9.2853984107999998e-01,5.8778525229247280e-01,3.4075458878752718e-01,3.4075458878752718e-01
3,5,1.7499999999999999e-01,2.7500000000000002e-01,3.0901699437494751e-01,5.5011293022200003e-01,3.0901699437494706e-01,2.4109593584705297e-01,2.4109593584705297e-01
4,5,2.2500000000000001e-01,2.7500000000000002e-01,1.2246467991473532e-16,1.1783713289099999e-01,-3.6739403974420594e-16,1.1783713289100035e-01,1.1783713289100035e-01
5,5,2.7500000000000002e-01,2.7500000000000002e-01,-3.0901699437494773e-01,-3.2597338402699999e-01,-3.0901699437494778e-01,-1.6956389652052206e-02,1.6956389652052206e-02
6,5,3.2500000000000001e-01,2.7500000000000002e-01,-5.8778525229247336e-01,-7.3787535492599998e-01,-5.8778525229247336e-01,-1.5009010263352662e-01,1.5009010263352662e-01
7,5,3.7500000000000000e-01,2.7500000000000002e-01,-8.0901699437494734e-01,-1.0775489450000000e+00,-8.0901699437494767e-01,-2.6853195062505231e-01,2.6853195062505231e-01
8,5,4.2499999999999999e-01,2.7500000000000002e-01,-9.5105651629515353e-01,-1.3117445366200000e+00,-9.5105651629515364e-01,-3.6068802032484637e-01,3.6068802032484637e-01
9,5,4.7499999999999998e-01,2.7500000000000002e-01,-1.0000000000000000e+00,-1.4175374335299999e+00,-1.0000000000000000e+00,-4.1753743352999995e-01,4.1753743352999995e-01
10,5,5.2500000000000002e-01,2.7500000000000002e-01,-9.5105651629515364e-01,-1.3845718898799999e+00,-9.5105651629515353e-01,-4.3351537358484638e-01,4.3351537358484638e-01
11,5,5.7499999999999996e-01,2.7500000000000002e-01,-8.0901699437494756e-01,-1.2160748027799999e+00,-8.0901699437494679e-01,-4.0705780840505312e-01,4.0705780840505312e-01
12,5,6.2500000000000000e-01,2.7500000000000002e-01,-5.8778525229247336e-01,-9.2853984107999998e-01,-5.8778525229247358e-01,-3.4075458878752640e-01,3.4075458878752640e-01
13,5,6.7500000000000004e-01,2.7500000000000002e-01,-3.0901699437494762e-01,-5.5011293022200003e-01,-3.0901699437494634e-01,-2.4109593584705369e-01,2.4109593584705369e-01
14,5,7.2499999999999998e-01,2.7500000000000002e-01,-2.4492935982947064e-16,-1.1783713289099999e-01,2.4492935982947064e-16,-1.1783713289100024e-01,1.1783713289100024e-01
15,5,7.7500000000000002e-01,2.7500000000000002e-01,3.0901699437494717e-01,3.2597338402699999e-01,3.0901699437494762e-01,1.6956389652052373e-02,1.6956389652052373e-02
16,5,8.2499999999999996e-01,2.7500000000000002e-01,5.8778525229247358e-01,7.3787535492599998e-01,5.8778525229247403e-01,1.5009010263352596e-01,1.5009010263352596e-01
17,5,8.7500000000000000e-01,2.7500000000000002e-01,8.0901699437494679e-01,1.0775489450000000e+00,8.0901699437494701e-01,2.6853195062505297e-01,2.6853195062505297e-01
18,5,9.2500000000000004e-01,2.7500000000000002e-01,9.5105651629515375e-01,1.3117445366200000e+00,9.5105651629515386e-01,3.6068802032484615e-01,3.6068802032484615e-01
19,5,9.7499999999999998e-01,2.7500000000000002e-01,1.0000000000000000e+00,1.4175374335299999e+00,1.0000000000000000e+00,4.1753743352999995e-01,4.1753743352999995e-01
0,6,2.5000000000000001e-02,3.2500000000000001e-01,8.0901699437494745e-01,1.2160748027799999e+00,8.0901699437494723e-01,4.0705780840505268e-01,4.0705780840505268e-01
1,6,7.4999999999999997e-02,3.2500000000000001e-01,5.8778525229247325e-01,9.2853984107999998e-01,5.8778525229247280e-01,3.4075458878752718e-01,3.4075458878752718e-01
2,6,1.2500000000000000e-01,3.2500000000000001e-01,3.0901699437494751e-01,5.5011293022200003e-01,3.0901699437494706e-01,2.4109593584705297e-01,2.4109593584705297e-01
3,6,1.7499999999999999e-01,3.2500000000000001e-01,1.2246467991473532e-16,1.1783713289099999e-01,-3.6739403974420594e-16,1.1783713289100035e-01,1.1783713289100035e-01
4,6,2.2500000000000001e-01,3.2500000000000001e-01,-3.0901699437494773e-01,-3.2597338402699999e-01,-3.0901699437494778e-01,-1.6956389652052206e-02,1.6956389652052206e-02
5,6,2.7500000000000002e-01,3.2500000000000001e-01,-5.8778525229247336e-01,-7.3787535492599998e-01,-5.8778525229247336e-01,-1.5009010263352662e-01,1.5009010263352662e-01
6,6,3.2500000000000001e-01,3.2500000000000001e-01,-8.0901699437494734e-01,-1.0775489450000000e+00,-8.0901699437494767e-01,-2.6853195062505231e-01,2.6853195062505231e-01
7,6,3.7500000000000000e-01,3.2500000000000001e-01,-9.5105651629515353e-01,-1.3117445366200000e+00,-9.5105651629515364e-01,-3.6068802032484637e-01,3.6068802032484637e-01
8,6,4.2499999999999999e-01,3.2500000000000001e-01,-1.0000000000000000e+00,-1.4175374335299999e+00,-1.0000000000000000e+00,-4.1753743352999995e-01,4.1753743352999995e-01
9,6,4.7499999999999998e-01,3.2500000000000001e-01,-9.5105651629515364e-01,-1.3845718898799999e+00,-9.5105651629515353e-01,-4.3351537358484638e-01,4.3351537358484638e-01
10,6,5.2500000000000002e-01,3.2500000000000001e-01,-8.0901699437494701e-01,-1.2160748027799999e+00,-8.0901699437494679e-01,-4.0705780840505312e-01,4.0705780840505312e-01
11,6,5.7499999999999996e-01,3.2500000000000001e-01,-5.8778525229247403e-01,-9.2853984107999998e-01,-5.8778525229247358e-01,-3.4075458878752640e-01,3.4075458878752640e-01
12,6,6.2500000000000000e-01,3.2500000000000001e-01,-3.0901699437494762e-01,-5.5011293022200003e-01,-3.0901699437494717e-01,-2.4109593584705286e-01,2.4109593584705286e-01
13,6,6.7500000000000004e-01,3.2500000000000001e-01,-2.4492935982947064e-16,-1.1783713289099999e-01,2.4492935982947064e-16,-1.1783713289100024e-01,1.1783713289100024e-01
14,6,7.2499999999999998e-01,3.2500000000000001e-01,3.0901699437494717e-01,3.2597338402699999e-01,3.0901699437494762e-01,1.6956389652052373e-02,1.6956389652052373e-02
15,6,7.7500000000000002e-01,3.2500000000000001e-01,5.8778525229247358e-01,7.3787535492599998e-01,5.8778525229247403e-01,1.5009010263352596e-01,1.5009010263352596e-01
16,6,8.2499999999999996e-01,3.2500000000000001e-01,8.0901699437494679e-01,1.0775489450000000e+00,8.0901699437494701e-01,2.6853195062505297e-01,2.6853195062505297e-01
17,6,8.7500000000000000e-01,3.2500000000000001e-01,9.5105651629515353e-01,1.3117445366200000e+00,9.5105651629515364e-01,3.6068802032484637e-01,3.6068802032484637e-01
18,6,9.2500000000000004e-01,3.2500000000000001e-01,1.0000000000000000e+00,1.4175374335299999e+00,1.0000000000000000e+00,4.1753743352999995e-01,4.1753743352999995e-01
19,6,9.7499999999999998e-01,3.2500000000000001e-01,9.5105651629515364e-01,1.3845718898799999e+00,9.5105651629515353e-01,4.3351537358484638e-01,4.3351537358484638e-01
0,7,2.5000000000000001e-02,3.7500000000000000e-01,5.8778525229247325e-01,9.2853984107999998e-01,5.8778525229247280e-01,3.4075458878752718e-01,3.4075458878752718e-01
1,7,7.4999999999999997e-02,3.7500000000000000e-01,3.0901699437494751e-01,5.5011293022200003e-01,3.0901699437494706e-01,2.4109593584705297e-01,2.4109593584705297e-01
2,7,1.2500000000000000e-01,3.7500000000000000e-01,1.2246467991473532e-16,1.1783713289099999e-01,-3.6739403974420594e-16,1.1783713289100035e-01,1.1783713289100035e-01
3,7,1.7499999999999999e-01,3.7500000000000000e-01,-3.0901699437494773e-01,-3.2597338402699999e-01,-3.0901699437494778e-01,-1.6956389652052206e-02,1.6956389652052206e-02
4,7,2.2500000000000001e-01,3.7500000000000000e-01,-5.8778525229247303e-01,-7.3787535492599998e-01,-5.8778525229247336e-01,-1.5009010263352662e-01,1.5009010263352662e-01
5,7,2.7500000000000002e-01,3.7500000000000000e-01,-8.0901699437494734e-01,-1.0775489450000000e+00,-8.0901699437494767e-01,-2.6853195062505231e-01,2.6853195062505231e-01
6,7,3.2500000000000001e-01,3.7500000000000000e-01,-9.5105651629515353e-01,-1.3117445366200000e+00,-9.5105651629515364e-01,-3.6068802032484637e-01,3.6068802032484637e-01
7,7,3.7500000000000000e-01,3.7500000000000000e-01,-1.0000000000000000e+00,-1.4175374335299999e+00,-1.0000000000000000e+00,-4.1753743352999995e-01,4.1753743352999995e-01
8,7,4.2499999999999999e-01,3.7500000000000000e-01,-9.5105651629515364e-01,-1.3845718898799999e+00,-9.5105651629515353e-01,-4.3351537358484638e-01,4.3351537358484638e-01
9,7,4.7499999999999998e-01,3.7500000000000000e-01,-8.0901699437494756e-01,-1.2160748027799999e+00,-8.0901699437494679e-01,-4.0705780840505312e-01,4.0705780840505312e-01
10,7,5.2500000000000002e-01,3.7500000000000000e-01,-5.8778525229247336e-01,-9.2853984107999998e-01,-5.8778525229247358e-01,-3.4075458878752640e-01,3.4075458878752640e-01
11,7,5.7499999999999996e-01,3.7500000000000000e-01,-3.0901699437494762e-01,-5.5011293022200003e-01,-3.0901699437494717e-01,-2.4109593584705286e-01,2.4109593584705286e-01
12,7,6.2500000000000000e-01,3.7500000000000000e-01,-2.4492935982947064e-16,-1.1783713289099999e-01,2.4492935982947064e-16,-1.1783713289100024e-01,1.1783713289100024e-01
13,7,6.7500000000000004e-01,3.7500000000000000e-01,3.0901699437494717e-01,3.2597338402699999e-01,3.0901699437494762e-01,1.6956389652052373e-02,1.6956389652052373e-02
