cell,x,y,z,volume,numerical,exact,error,absError
55,2.3333333333395981e-01,7.6666666666671113e-01,5.0000000000000017e-02,4.9999999999886051e-04,-5.5870752972823634e-01,-5.5226423163291749e-01,-6.4432980953188501e-03,6.4432980953188501e-03
56,2.3333333333404471e-01,8.3333333333311688e-01,5.0000000000000010e-02,4.9999999999997160e-04,-6.4583317766015136e-01,-6.4358229755282870e-01,-2.2508801073226614e-03,2.2508801073226614e-03
57,2.6666666666753569e-01,8.6666666666636172e-01,5.0000000000000003e-02,5.0000000000066495e-04,-6.1236283543935388e-01,-6.1128122600666002e-01,-1.0816094326938641e-03,1.0816094326938641e-03
58,2.6666666666766797e-01,9.3333333333308111e-01,5.0000000000000010e-02,5.0000000000358070e-04,-6.5321134985738949e-01,-6.5450849718507687e-01,1.2971473276873757e-03,1.2971473276873757e-03
59,2.3333333333426201e-01,9.6666666666653800e-01,4.9999999999999989e-02,5.0000000000400982e-04,-7.2889124704079333e-01,-7.3907380036492987e-01,1.0182553324136534e-02,1.0182553324136534e-02
60,3.6666666666582670e-01,3.3333333333391800e-02,5.0000000000000010e-02,4.9999999999941714e-04,4.2439824383397268e-01,4.0450849718986348e-01,1.9889746644109196e-02,1.9889746644109196e-02
61,3.3333333333265691e-01,6.6666666666803667e-02,5.0000000000000003e-02,5.0000000000007189e-04,4.9963513695224010e-01,4.8907380036865833e-01,1.0561336583581771e-02,1.0561336583581771e-02
62,3.3333333333278908e-01,1.3333333333362030e-01,5.0000000000000003e-02,4.9999999999996488e-04,4.6435294406194361e-01,4.5677272882246989e-01,7.5802152394737199e-03,7.5802152394737199e-03
63,3.6666666666613851e-01,1.6666666666698249e-01,5.0000000000000010e-02,4.9999999999998277e-04,3.5767968147689022e-01,3.5224426555475796e-01,5.4354159221322584e-03,5.4354159221322584e-03
64,3.6666666666631809e-01,2.3333333333374240e-01,5.0000000000000010e-02,4.9999999999991306e-04,3.0092095392334439e-01,3.0226423163422045e-01,-1.3432777108760563e-03,1.3432777108760563e-03
65,3.3333333333310089e-01,2.6666666666718619e-01,5.0000000000000003e-02,5.0000000000062256e-04,3.3338878756032020e-01,3.3456530317924582e-01,-1.1765156189256221e-03,1.1765156189256221e-03
66,3.3333333333323301e-01,3.3333333333398868e-01,5.0000000000000010e-02,5.0000000000062256e-04,2.5628661097410121e-01,2.4999999999924508e-01,6.2866109748561383e-03,6.2866109748561383e-03
67,3.6666666666662973e-01,3.6666666666730019e-01,5.0000000000000003e-02,5.0000000000062115e-04,1.7095976405415400e-01,1.6543469681987452e-01,5.5250672342794793e-03,5.5250672342794793e-03
68,3.6666666666680919e-01,4.3333333333405272e-01,5.0000000000000010e-02,5.0000000000057811e-04,8.0190333761026439e-02,8.4565303178444920e-02,-4.3749694174184811e-03,4.3749694174184811e-03
69,3.3333333333354481e-01,4.6666666666753959e-01,5.0000000000000003e-02,5.0000000000127200e-04,4.7599016582655952e-02,5.2264231632402978e-02,-4.6652150497470263e-03,4.6652150497470263e-03
70,3.3333333333367710e-01,5.3333333333413890e-01,5.0000000000000010e-02,4.9999999999833955e-04,-4.7599016580350248e-02,-5.2264231634987404e-02,4.6652150546371562e-03,4.6652150546371562e-03
71,3.6666666666712089e-01,5.6666666666725929e-01,5.0000000000000003e-02,4.9999999999915433e-04,-8.0190333757743870e-02,-8.4565303179898729e-02,4.3749694221548591e-03,4.3749694221548591e-03
72,3.6666666666730019e-01,6.3333333333372177e-01,5.0000000000000003e-02,4.9999999999911270e-04,-1.7095976405018010e-01,-1.6543469682028478e-01,-5.5250672298953196e-03,5.5250672298953196e-03
73,3.3333333333398879e-01,6.6666666666700092e-01,5.0000000000000003e-02,4.9999999999898780e-04,-2.5628661097036509e-01,-2.4999999999956307e-01,-6.2866109708020201e-03,6.2866109708020201e-03
74,3.3333333333412102e-01,7.3333333333339679e-01,5.0000000000000017e-02,4.9999999999898498e-04,-3.3338878755568818e-01,-3.3456530317806926e-01,1.1765156223810802e-03,1.1765156223810802e-03
75,3.6666666666761188e-01,7.6666666666657668e-01,5.0000000000000003e-02,4.9999999999981992e-04,-3.0092095391799523e-01,-3.0226423163173383e-01,1.3432777137385998e-03,1.3432777137385998e-03
76,3.6666666666779141e-01,8.3333333333309167e-01,5.0000000000000003e-02,5.0000000000065097e-04,-3.5767968147074658e-01,-3.5224426555069710e-01,-5.4354159200494800e-03,5.4354159200494800e-03
77,3.3333333333443271e-01,8.6666666666637171e-01,5.0000000000000003e-02,5.0000000000066593e-04,-4.6435294405607191e-01,-4.5677272881837955e-01,-7.5802152376923670e-03,7.5802152376923670e-03
78,3.3333333333456489e-01,9.3333333333309121e-01,5.0000000000000017e-02,5.0000000000358113e-04,-4.9963513694614042e-01,-4.8907380036354631e-01,-1.0561336582594116e-02,1.0561336582594116e-02
79,3.6666666666810321e-01,9.6666666666654810e-01,5.0000000000000017e-02,5.0000000000385912e-04,-4.2439824382699382e-01,-4.0450849718335757e-01,-1.9889746643636241e-02,1.9889746643636241e-02
80,4.3333333333230240e-01,3.3333333333391807e-02,5.0000000000000010e-02,4.9999999999947222e-04,1.8812435348743270e-01,2.0677272882444717e-01,-1.8648375337014467e-02,1.8648375337014467e-02
81,4.6666666666565437e-01,6.6666666666763533e-02,5.0000000000000003e-02,4.9999999999950952e-04,9.4874746642333321e-02,1.0224426555673415e-01,-7.3695189144008244e-03,7.3695189144008244e-03
82,4.6666666666587903e-01,1.3333333333349509e-01,5.0000000000000010e-02,4.9999999999933138e-04,9.1397623206395717e-02,9.5491502814752827e-02,-4.0938796083571094e-03,4.0938796083571094e-03
83,4.3333333333270652e-01,1.6666666666689739e-01,5.0000000000000010e-02,5.0000000000000500e-04,1.7791514016984880e-01,1.8005680599354817e-01,-2.1416658236993735e-03,2.1416658236993735e-03
84,4.3333333333288598e-01,2.3333333333365741e-01,5.0000000000000003e-02,4.9999999999993496e-04,1.5933836982377220e-01,1.5450849718835372e-01,4.8298726354184807e-03,4.8298726354184807e-03
85,4.6666666666628293e-01,2.6666666666696892e-01,5.0000000000000003e-02,4.9999999999991729e-04,7.4175566787982261e-02,6.9943194008773191e-02,4.2323727792090704e-03,4.2323727792090704e-03
86,4.6666666666650719e-01,3.3333333333367687e-01,5.0000000000000003e-02,4.9999999999991956e-04,4.7599016584006802e-02,5.2264231633978232e-02,-4.6652150499714301e-03,4.6652150499714301e-03
87,4.3333333333328972e-01,3.6666666666712078e-01,5.0000000000000003e-02,5.0000000000061107e-04,8.0190333761671923e-02,8.4565303179212681e-02,-4.3749694175407583e-03,4.3749694175407583e-03
88,4.3333333333346929e-01,4.3333333333387342e-01,5.0000000000000003e-02,5.0000000000056781e-04,4.9039363901487602e-02,4.3227271178267634e-02,5.8120927232199679e-03,5.8120927232199679e-03
89,4.6666666666691131e-01,4.6666666666713580e-01,5.0000000000000003e-02,5.0000000000056531e-04,1.6466273821984890e-02,1.0926199632864087e-02,5.5400741891208031e-03,5.5400741891208031e-03
90,4.6666666666713591e-01,5.3333333333375144e-01,5.0000000000000003e-02,4.9999999999923478e-04,-1.6466273817482661e-02,-1.0926199633080476e-02,-5.5400741844021852e-03,5.5400741844021852e-03
91,4.3333333333387342e-01,5.6666666666709642e-01,5.0000000000000003e-02,4.9999999999911053e-04,-4.9039363897160029e-02,-4.3227271178629040e-02,-5.8120927185309895e-03,5.8120927185309895e-03
92,4.3333333333405277e-01,6.3333333333355879e-01,5.0000000000000010e-02,4.9999999999906879e-04,-8.0190333756848489e-02,-8.4565303178664453e-02,4.3749694218159635e-03,4.3749694218159635e-03
93,4.6666666666753981e-01,6.6666666666673913e-01,5.0000000000000003e-02,4.9999999999988574e-04,-4.7599016578704183e-02,-5.2264231632483386e-02,4.6652150537792036e-03,4.6652150537792036e-03
94,4.6666666666776419e-01,7.3333333333326234e-01,5.0000000000000003e-02,4.9999999999988433e-04,-7.4175566781824714e-02,-6.9943194005732789e-02,-4.2323727760919250e-03,4.2323727760919250e-03
95,4.3333333333445662e-01,7.6666666666654182e-01,5.0000000000000003e-02,4.9999999999974295e-04,-1.5933836981732799e-01,-1.5450849718485402e-01,-4.8298726324739749e-03,4.8298726324739749e-03
96,4.3333333333463619e-01,8.3333333333305637e-01,5.0000000000000003e-02,5.0000000000057475e-04,-1.7791514016244689e-01,-1.8005680598839771e-01,2.1416658259508226e-03,2.1416658259508226e-03
97,4.6666666666816808e-01,8.6666666666634695e-01,5.0000000000000003e-02,5.0000000000125270e-04,-9.1397623198072611e-02,-9.5491502808198292e-02,4.0938796101256808e-03,4.0938796101256808e-03
98,4.6666666666839268e-01,9.3333333333310164e-01,5.0000000000000010e-02,5.0000000000333447e-04,-9.4874746632693754e-02,-1.0224426554835636e-01,7.3695189156626068e-03,7.3695189156626068e-03
99,4.3333333333504009e-01,9.6666666666654810e-01,5.0000000000000003e-02,5.0000000000374864e-04,-1.8812435347793771e-01,-2.0677272881607645e-01,1.8648375338138734e-02,1.8648375338138734e-02
100,5.6666666666560872e-01,3.3333333333351672e-02,5.0000000000000003e-02,5.0000000000153979e-04,-1.8812435347978129e-01,-2.0677272881806585e-01,1.8648375338284562e-02,1.8648375338284562e-02
101,5.3333333333230337e-01,6.6666666666723398e-02,5.0000000000000003e-02,5.0000000000137803e-04,-9.4874746634504514e-02,-1.0224426555049537e-01,7.3695189159908581e-03,7.3695189159908581e-03
102,5.3333333333252797e-01,1.3333333333345490e-01,5.0000000000000017e-02,5.0000000000119881e-04,-9.1397623199489950e-02,-9.5491502810211334e-02,4.0938796107213848e-03,4.0938796107213848e-03
103,5.6666666666599608e-01,1.6666666666677230e-01,5.0000000000000003e-02,5.0000000000039954e-04,-1.7791514016366100e-01,-1.8005680599013626e-01,2.1416658264752642e-03,2.1416658264752642e-03
104,5.6666666666615884e-01,2.3333333333344011e-01,5.0000000000000003e-02,5.0000000000029621e-04,-1.5933836981816279e-01,-1.5450849718626736e-01,-4.8298726318954377e-03,4.8298726318954377e-03
105,5.3333333333291510e-01,2.6666666666683669e-01,5.0000000000000003e-02,5.0000000000018834e-04,-7.4175566782472988e-02,-6.9943194007128701e-02,-4.2323727753442869e-03,4.2323727753442869e-03
106,5.3333333333313959e-01,3.3333333333354492e-01,5.0000000000000003e-02,5.0000000000018975e-04,-4.7599016579062972e-02,-5.2264231633463845e-02,4.6652150544008730e-03,4.6652150544008730e-03
107,5.6666666666654619e-01,3.6666666666680919e-01,5.0000000000000003e-02,4.9999999999936987e-04,-8.0190333757111404e-02,-8.4565303179193460e-02,4.3749694220820562e-03,4.3749694220820562e-03
108,5.6666666666670906e-01,4.3333333333346918e-01,5.0000000000000003e-02,4.9999999999936109e-04,-4.9039363897127840e-02,-4.3227271178639878e-02,-5.8120927184879614e-03,5.8120927184879614e-03
