cell,x,y,z,volume,initial,numerical,exact,error,absError
30,3.3333333333400002e-02,7.6666666666700001e-01,5.0000000000000003e-02,1.2500000000000000e-04,-9.5105651629437693e-01,-8.8350936259000001e-01,-9.5105651629437704e-01,6.7547153704377028e-02,6.7547153704377028e-02
31,1.6666666666700001e-02,7.8333333333300004e-01,5.0000000000000003e-02,1.2499999999899999e-04,-9.5105651629573607e-01,-8.8350936259000001e-01,-9.5105651629573584e-01,6.7547153705735830e-02,6.7547153705735830e-02
32,1.6666666666700001e-02,8.1666666666700005e-01,5.0000000000000003e-02,1.2499999999899999e-04,-8.6602540378328663e-01,-8.4177123196199999e-01,-8.6602540378328641e-01,2.4254171821286419e-02,2.4254171821286419e-02
33,3.3333333333400002e-02,8.3333333333299997e-01,5.0000000000000003e-02,1.2500000000000000e-04,-7.4314482547851546e-01,-7.6564368093500001e-01,-7.4314482547851513e-01,-2.2498855456484890e-02,2.2498855456484890e-02
34,3.3333333333400002e-02,8.6666666666600001e-01,5.0000000000000003e-02,1.2500000000000000e-04,-5.8778525229552281e-01,-5.6257183026699997e-01,-5.8778525229552314e-01,2.5213422028523169e-02,2.5213422028523169e-02
35,1.6666666666700001e-02,8.8333333333300001e-01,5.0000000000000003e-02,1.2500000000000000e-04,-5.8778525229399803e-01,-5.6257183026599999e-01,-5.8778525229399692e-01,2.5213422027996923e-02,2.5213422027996923e-02
36,1.6666666666700001e-02,9.1666666666600005e-01,5.0000000000000003e-02,1.2500000000099999e-04,-4.0673664307943519e-01,-4.5513114250999998e-01,-4.0673664307943475e-01,-4.8394499430565230e-02,4.8394499430565230e-02
37,3.3333333333499998e-02,9.3333333333299995e-01,5.0000000000000003e-02,1.2500000000099999e-04,-2.0791169081878413e-01,-2.9909669088099999e-01,-2.0791169081878452e-01,-9.1185000062215471e-02,9.1185000062215471e-02
38,3.3333333333499998e-02,9.6666666666699996e-01,5.0000000000000003e-02,1.2500000000099999e-04,3.1412421411195134e-12,-2.6750979893000001e-02,3.1417319998391725e-12,-2.6750979896141735e-02,2.6750979896141735e-02
39,1.6666666666700001e-02,9.8333333333299999e-01,5.0000000000000003e-02,1.2500000000099999e-04,-1.8849595359634953e-12,-2.6750979894799999e-02,-1.8844696772438362e-12,-2.6750979892915531e-02,2.6750979892915531e-02
40,8.3333333333200005e-02,1.6666666666700001e-02,5.0000000000000003e-02,1.2500000000000000e-04,5.8778525229196488e-01,5.1928783556799996e-01,5.8778525229196477e-01,-6.8497416723964810e-02,6.8497416723964810e-02
41,6.6666666666599997e-02,3.3333333333499998e-02,5.0000000000000003e-02,1.2500000000000000e-04,5.8778525229298140e-01,5.1928783556400004e-01,5.8778525229298229e-01,-6.8497416728982241e-02,6.8497416728982241e-02
42,6.6666666666599997e-02,6.6666666666900007e-02,5.0000000000000003e-02,1.2500000000000000e-04,7.4314482547809491e-01,6.2559680614600000e-01,7.4314482547809546e-01,-1.1754801933209547e-01,1.1754801933209547e-01
43,8.3333333333200005e-02,8.3333333333600004e-02,5.0000000000000003e-02,1.2500000000000000e-04,8.6602540378485759e-01,7.5488888725600001e-01,8.6602540378485748e-01,-1.1113651652885748e-01,1.1113651652885748e-01
