cell,x,y,z,volume,initial,numerical,exact,error,absError
85,1.3333333333299999e-01,1.3333333333399999e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.9452189536805446e-01,2.7912687736300001e-01,9.9452189536805435e-01,-7.1539501800505434e-01,7.1539501800505434e-01
86,1.3333333333299999e-01,1.6666666666700000e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.5105651629515364e-01,2.5476877249199997e-01,9.5105651629515342e-01,-6.9628774380315339e-01,6.9628774380315339e-01
87,1.1666666666700000e-01,1.8333333333400001e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.5105651629321186e-01,2.5476877249000002e-01,9.5105651629321186e-01,-6.9628774380321179e-01,6.9628774380321179e-01
88,1.1666666666700000e-01,2.1666666666699999e-01,5.0000000000000003e-02,1.2500000000000000e-04,8.6602540378234416e-01,2.3607851032100000e-01,8.6602540378234349e-01,-6.2994689346134347e-01,6.2994689346134347e-01
89,1.3333333333299999e-01,2.3333333333400000e-01,5.0000000000000003e-02,1.2500000000000000e-04,7.4314482547599281e-01,2.1126313158099999e-01,7.4314482547599214e-01,-5.3188169389499218e-01,5.3188169389499218e-01
90,1.3333333333299999e-01,2.6666666666799999e-01,5.0000000000000003e-02,1.2500000000000000e-04,5.8778525228739020e-01,1.4250378693099999e-01,5.8778525228738976e-01,-4.4528146535638979e-01,4.4528146535638979e-01
91,1.1666666666700000e-01,2.8333333333400001e-01,5.0000000000000003e-02,1.2500000000000000e-04,5.8778525228739020e-01,1.4250378693099999e-01,5.8778525228738976e-01,-4.4528146535638979e-01,4.4528146535638979e-01
92,1.1666666666700000e-01,3.1666666666799997e-01,5.0000000000000003e-02,1.2500000000000000e-04,4.0673664306623375e-01,1.0414114905300000e-01,4.0673664306623247e-01,-3.0259549401323249e-01,3.0259549401323249e-01
93,1.3333333333299999e-01,3.3333333333400000e-01,5.0000000000000003e-02,1.2500000000000000e-04,2.0791169081571118e-01,6.2704050105800005e-02,2.0791169081571156e-01,-1.4520764070991155e-01,1.4520764070991155e-01
94,1.3333333333299999e-01,3.6666666666800002e-01,5.0000000000000003e-02,1.2500000000000000e-04,-6.2828516762787709e-12,-2.4192801710399999e-02,-6.2833415349984300e-12,-2.4192801704116657e-02,2.4192801704116657e-02
95,1.1666666666700000e-01,3.8333333333500003e-01,5.0000000000000003e-02,1.2500000000000000e-04,-1.2566713995657158e-11,-2.4192801712300000e-02,-1.2568092032796516e-11,-2.4192801699731908e-02,2.4192801699731908e-02
96,1.1666666666700000e-01,4.1666666666800001e-01,5.0000000000000003e-02,1.2500000000000000e-04,-2.0791169082800229e-01,-6.7574591527699998e-02,-2.0791169082800190e-01,1.4033709930030192e-01,1.4033709930030192e-01
97,1.3333333333299999e-01,4.3333333333500001e-01,5.0000000000000003e-02,1.2500000000000000e-04,-4.0673664308345364e-01,-1.0980584727900000e-01,-4.0673664308345409e-01,2.9693079580445408e-01,2.9693079580445408e-01
98,1.3333333333299999e-01,4.6666666666800000e-01,5.0000000000000003e-02,1.2500000000000000e-04,-5.8778525229755607e-01,-1.8164856238300001e-01,-5.8778525229755640e-01,4.0613668991455643e-01,4.0613668991455643e-01
99,1.1666666666700000e-01,4.8333333333500000e-01,5.0000000000000003e-02,1.2500000000099999e-04,-5.8778525230263978e-01,-1.8164856238300001e-01,-5.8778525230263945e-01,4.0613668991963947e-01,4.0613668991963947e-01
100,1.1666666666700000e-01,5.1666666666799999e-01,5.0000000000000003e-02,1.2499999999899999e-04,-7.4314482548440119e-01,-2.1347913491800000e-01,-7.4314482548440097e-01,5.2966569056640100e-01,5.2966569056640100e-01
101,1.3333333333399999e-01,5.3333333333499999e-01,5.0000000000000003e-02,1.2500000000000000e-04,-8.6602540379176896e-01,-2.4037364316400001e-01,-8.6602540379176929e-01,6.2565176062776928e-01,6.2565176062776928e-01
102,1.3333333333399999e-01,5.6666666666800003e-01,5.0000000000000003e-02,1.2499999999899999e-04,-9.5105651629903687e-01,-2.6972074623100001e-01,-9.5105651629903676e-01,6.8133577006803669e-01,6.8133577006803669e-01
