cell,x,y,initial,numerical,exact,error,absError
41,3.7500000000000089e-02,-9.8750000000000004e-01,4.6603533545468951e-152,7.8701074339699997e-09,2.5029373100991949e-30,7.8701074339699997e-09,7.8701074339699997e-09
42,6.2500000000000000e-02,-9.8750000000000004e-01,3.1305349944454561e-152,5.7592421300999998e-09,2.3114788041938394e-30,5.7592421300999998e-09,5.7592421300999998e-09
43,8.7500000000000133e-02,-9.8750000000000004e-01,1.7235271817390739e-152,4.1985392524100003e-09,2.0513975392952940e-30,4.1985392524100003e-09,4.1985392524100003e-09
44,1.1250000000000004e-01,-9.8750000000000004e-01,7.7770979590574017e-153,3.0645106333200001e-09,1.7495635280323405e-30,3.0645106333200001e-09,3.0645106333200001e-09
45,1.3749999999999996e-01,-9.8750000000000004e-01,2.8761852820463050e-153,2.2531613286099999e-09,1.4339353613710954e-30,2.2531613286099999e-09,2.2531613286099999e-09
46,1.6250000000000009e-01,-9.8750000000000004e-01,8.7179828019598763e-154,1.6800959097899999e-09,1.1294042155099416e-30,1.6800959097899999e-09,1.6800959097899999e-09
47,1.8750000000000000e-01,-9.8750000000000004e-01,2.1657833685462413e-154,1.2789780194900001e-09,8.5484860180291234e-31,1.2789780194900001e-09,1.2789780194900001e-09
48,2.1250000000000013e-01,-9.8750000000000004e-01,4.4097490855107600e-155,9.9914226804800007e-10,6.2179751002812887e-31,9.9914226804800007e-10,9.9914226804800007e-10
49,2.3750000000000004e-01,-9.8750000000000004e-01,7.3588949171463252e-156,8.0292027520599996e-10,4.3463903030132569e-31,8.0292027520599996e-10,8.0292027520599996e-10
50,2.6250000000000018e-01,-9.8750000000000004e-01,1.0064939807396967e-156,6.6303721753100002e-10,2.9196341796328193e-31,6.6303721753100002e-10,6.6303721753100002e-10
51,2.8750000000000009e-01,-9.8750000000000004e-01,1.1282611149504933e-157,5.6027609199700002e-10,1.8847255886345328e-31,5.6027609199700002e-10,5.6027609199700002e-10
52,3.1250000000000000e-01,-9.8750000000000004e-01,1.0365921540194808e-158,4.8149490026700002e-10,1.1691972529103809e-31,4.8149490026700002e-10,4.8149490026700002e-10
53,3.3750000000000013e-01,-9.8750000000000004e-01,7.8055960481921809e-160,4.1801053443600002e-10,6.9702349478748141e-32,4.1801053443600002e-10,4.1801053443600002e-10
54,3.6250000000000004e-01,-9.8750000000000004e-01,4.8173043465699117e-161,3.6432285023299999e-10,3.9932547764954608e-32,3.6432285023299999e-10,3.6432285023299999e-10
55,3.8750000000000018e-01,-9.8750000000000004e-01,2.4366993970367593e-162,3.1713375349800001e-10,2.1985006278833770e-32,3.1713375349800001e-10,3.1713375349800001e-10
56,4.1250000000000009e-01,-9.8750000000000004e-01,1.0101821373410076e-163,2.7461105259800000e-10,1.1631778936757940e-32,2.7461105259800000e-10,2.7461105259800000e-10
57,4.3750000000000000e-01,-9.8750000000000004e-01,3.4323950880004439e-165,2.3584928158200000e-10,5.9140590592174168e-33,2.3584928158200000e-10,2.3584928158200000e-10
58,4.6250000000000013e-01,-9.8750000000000004e-01,9.5586094389020228e-167,2.0048556235800000e-10,2.8896493535377372e-33,2.0048556235800000e-10,2.0048556235800000e-10
59,4.8750000000000004e-01,-9.8750000000000004e-01,2.1816848709390164e-168,1.6843535550800000e-10,1.3568274050118016e-33,1.6843535550800000e-10,1.6843535550800000e-10
60,5.1250000000000018e-01,-9.8750000000000004e-01,4.0812122466178738e-170,1.3971934928300001e-10,6.1224329700811098e-34,1.3971934928300001e-10,1.3971934928300001e-10
61,5.3750000000000009e-01,-9.8750000000000004e-01,6.2572888070319869e-172,1.1435824169100000e-10,2.6548711180889074e-34,1.1435824169100000e-10,1.1435824169100000e-10
62,5.6250000000000000e-01,-9.8750000000000004e-01,7.8629058909220422e-174,9.2316717906500004e-11,1.1063252342814249e-34,9.2316717906500004e-11,9.2316717906500004e-11
63,5.8750000000000013e-01,-9.8750000000000004e-01,8.0980380511895874e-176,7.3481657678800006e-11,4.4303921147749778e-35,7.3481657678800006e-11,7.3481657678800006e-11
64,6.1250000000000004e-01,-9.8750000000000004e-01,6.8355963079398420e-178,5.7662719454699997e-11,1.7049886180484915e-35,5.7662719454699997e-11,5.7662719454699997e-11
