i,j,x,y,numerical,exact,error,absError
18,3,4.6250000000000002e-01,8.7499999999999994e-02,-1.5099532103499999e-01,-3.0901699437494778e-01,1.5802167333994779e-01,1.5802167333994779e-01
19,3,4.8749999999999999e-01,8.7499999999999994e-02,-2.1612618525499999e-01,-4.5399049973954630e-01,2.3786431448454631e-01,2.3786431448454631e-01
20,3,5.1249999999999996e-01,8.7499999999999994e-02,-2.7593530551099998e-01,-5.8778525229247336e-01,3.1184994678147337e-01,3.1184994678147337e-01
21,3,5.3749999999999998e-01,8.7499999999999994e-02,-3.2894998276999998e-01,-7.0710678118654835e-01,3.7815679841654837e-01,3.7815679841654837e-01
22,3,5.6250000000000000e-01,8.7499999999999994e-02,-3.7386481973000002e-01,-8.0901699437494767e-01,4.3515217464494765e-01,4.3515217464494765e-01
23,3,5.8750000000000002e-01,8.7499999999999994e-02,-4.0957386404200002e-01,-8.9100652418836845e-01,4.8143266014636843e-01,4.8143266014636843e-01
24,3,6.1250000000000004e-01,8.7499999999999994e-02,-4.3519784052400001e-01,-9.5105651629515420e-01,5.1585867577115418e-01,5.1585867577115418e-01
25,3,6.3749999999999996e-01,8.7499999999999994e-02,-4.5010580183299997e-01,-9.8768834059513788e-01,5.3758253876213791e-01,5.3758253876213791e-01
26,3,6.6249999999999998e-01,8.7499999999999994e-02,-4.5393066448600000e-01,-1.0000000000000000e+00,5.4606933551400005e-01,5.4606933551400005e-01
27,3,6.8750000000000000e-01,8.7499999999999994e-02,-4.4657824766999998e-01,-9.8768834059513777e-01,5.4111009292513779e-01,5.4111009292513779e-01
28,3,7.1250000000000002e-01,8.7499999999999994e-02,-4.2822959228700003e-01,-9.5105651629515353e-01,5.2282692400815356e-01,5.2282692400815356e-01
29,3,7.3750000000000004e-01,8.7499999999999994e-02,-3.9933650313000002e-01,-8.9100652418836734e-01,4.9167002105836732e-01,4.9167002105836732e-01
30,3,7.6249999999999996e-01,8.7499999999999994e-02,-3.6061042394400000e-01,-8.0901699437494679e-01,4.4840657043094678e-01,4.4840657043094678e-01
31,3,7.8749999999999998e-01,8.7499999999999994e-02,-3.1300491932300001e-01,-7.0710678118654735e-01,3.9410186186354734e-01,3.9410186186354734e-01
32,3,8.1250000000000000e-01,8.7499999999999994e-02,-2.5769219478499999e-01,-5.8778525229247358e-01,3.3009305750747359e-01,3.3009305750747359e-01
33,3,8.3750000000000002e-01,8.7499999999999994e-02,-1.9603423317999999e-01,-4.5399049973954658e-01,2.5795626655954662e-01,2.5795626655954662e-01
34,3,8.6250000000000004e-01,8.7499999999999994e-02,-1.2954925815300000e-01,-3.0901699437494634e-01,1.7946773622194634e-01,1.7946773622194634e-01
35,3,8.8749999999999996e-01,8.7499999999999994e-02,-5.9874350441599999e-02,-1.5643446504022973e-01,9.6560114598629732e-02,9.6560114598629732e-02
36,3,9.1249999999999998e-01,8.7499999999999994e-02,1.1274862489400000e-02,2.4492935982947064e-16,1.1274862489399755e-02,1.1274862489399755e-02
37,3,9.3750000000000000e-01,8.7499999999999994e-02,8.2146450886899994e-02,1.5643446504023023e-01,-7.4288014153330237e-02,7.4288014153330237e-02
38,3,9.6250000000000002e-01,8.7499999999999994e-02,1.5099532103499999e-01,3.0901699437494762e-01,-1.5802167333994763e-01,1.5802167333994763e-01
39,3,9.8750000000000004e-01,8.7499999999999994e-02,2.1612618525499999e-01,4.5399049973954697e-01,-2.3786431448454698e-01,2.3786431448454698e-01
0,4,1.2500000000000001e-02,1.1250000000000000e-01,3.2894998276999998e-01,7.0710678118654846e-01,-3.7815679841654848e-01,3.7815679841654848e-01
1,4,3.7499999999999999e-02,1.1250000000000000e-01,3.7386481973000002e-01,8.0901699437494767e-01,-4.3515217464494765e-01,4.3515217464494765e-01
2,4,6.2500000000000000e-02,1.1250000000000000e-01,4.0957386404200002e-01,8.9100652418836845e-01,-4.8143266014636843e-01,4.8143266014636843e-01
3,4,8.7499999999999994e-02,1.1250000000000000e-01,4.3519784052400001e-01,9.5105651629515375e-01,-5.1585867577115374e-01,5.1585867577115374e-01
4,4,1.1250000000000000e-01,1.1250000000000000e-01,4.5010580183299997e-01,9.8768834059513788e-01,-5.3758253876213791e-01,5.3758253876213791e-01
5,4,1.3750000000000001e-01,1.1250000000000000e-01,4.5393066448600000e-01,1.0000000000000000e+00,-5.4606933551400005e-01,5.4606933551400005e-01
6,4,1.6250000000000001e-01,1.1250000000000000e-01,4.4657824766999998e-01,9.8768834059513777e-01,-5.4111009292513779e-01,5.4111009292513779e-01
7,4,1.8750000000000000e-01,1.1250000000000000e-01,4.2822959228700003e-01,9.5105651629515342e-01,-5.2282692400815334e-01,5.2282692400815334e-01
8,4,2.1249999999999999e-01,1.1250000000000000e-01,3.9933650313000002e-01,8.9100652418836812e-01,-4.9167002105836810e-01,4.9167002105836810e-01
9,4,2.3749999999999999e-01,1.1250000000000000e-01,3.6061042394400000e-01,8.0901699437494723e-01,-4.4840657043094723e-01,4.4840657043094723e-01
10,4,2.6250000000000001e-01,1.1250000000000000e-01,3.1300491932300001e-01,7.0710678118654791e-01,-3.9410186186354790e-01,3.9410186186354790e-01
11,4,2.8749999999999998e-01,1.1250000000000000e-01,2.5769219478499999e-01,5.8778525229247280e-01,-3.3009305750747281e-01,3.3009305750747281e-01
12,4,3.1250000000000000e-01,1.1250000000000000e-01,1.9603423317999999e-01,4.5399049973954564e-01,-2.5795626655954562e-01,2.5795626655954562e-01
13,4,3.3750000000000002e-01,1.1250000000000000e-01,1.2954925815300000e-01,3.0901699437494706e-01,-1.7946773622194706e-01,1.7946773622194706e-01
14,4,3.6249999999999999e-01,1.1250000000000000e-01,5.9874350441599999e-02,1.5643446504022962e-01,-9.6560114598629621e-02,9.6560114598629621e-02
15,4,3.8750000000000001e-01,1.1250000000000000e-01,-1.1274862489400000e-02,-3.6739403974420594e-16,-1.1274862489399632e-02,1.1274862489399632e-02
16,4,4.1249999999999998e-01,1.1250000000000000e-01,-8.2146450886899994e-02,-1.5643446504023034e-01,7.4288014153330348e-02,7.4288014153330348e-02
17,4,4.3750000000000000e-01,1.1250000000000000e-01,-1.5099532103499999e-01,-3.0901699437494778e-01,1.5802167333994779e-01,1.5802167333994779e-01
18,4,4.6250000000000002e-01,1.1250000000000000e-01,-2.1612618525499999e-01,-4.5399049973954791e-01,2.3786431448454792e-01,2.3786431448454792e-01
