i,j,x,y,initial,numerical,change,absChange
91,0,4.5750000000000002e-01,2.5000000000000001e-03,0.0000000000000000e+00,6.9666537541399995e-02,6.9666537541399995e-02,6.9666537541399995e-02
92,0,4.6250000000000002e-01,2.5000000000000001e-03,0.0000000000000000e+00,7.0975721324200006e-02,7.0975721324200006e-02,7.0975721324200006e-02
93,0,4.6750000000000003e-01,2.5000000000000001e-03,0.0000000000000000e+00,7.2101361020300000e-02,7.2101361020300000e-02,7.2101361020300000e-02
94,0,4.7249999999999998e-01,2.5000000000000001e-03,0.0000000000000000e+00,7.3034633022500003e-02,7.3034633022500003e-02,7.3034633022500003e-02
95,0,4.7749999999999998e-01,2.5000000000000001e-03,0.0000000000000000e+00,7.3768155167100002e-02,7.3768155167100002e-02,7.3768155167100002e-02
96,0,4.8249999999999998e-01,2.5000000000000001e-03,0.0000000000000000e+00,7.4296077641400005e-02,7.4296077641400005e-02,7.4296077641400005e-02
97,0,4.8749999999999999e-01,2.5000000000000001e-03,0.0000000000000000e+00,7.4614155111800001e-02,7.4614155111800001e-02,7.4614155111800001e-02
98,0,4.9249999999999999e-01,2.5000000000000001e-03,0.0000000000000000e+00,7.4719798868399995e-02,7.4719798868399995e-02,7.4719798868399995e-02
99,0,4.9750000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,7.4612108119000001e-02,7.4612108119000001e-02,7.4612108119000001e-02
100,0,5.0249999999999995e-01,2.5000000000000001e-03,0.0000000000000000e+00,7.3985601014099997e-02,7.3985601014099997e-02,7.3985601014099997e-02
101,0,5.0749999999999995e-01,2.5000000000000001e-03,0.0000000000000000e+00,7.2559852534800004e-02,7.2559852534800004e-02,7.2559852534800004e-02
102,0,5.1249999999999996e-01,2.5000000000000001e-03,0.0000000000000000e+00,7.0390301457200002e-02,7.0390301457200002e-02,7.0390301457200002e-02
103,0,5.1749999999999996e-01,2.5000000000000001e-03,0.0000000000000000e+00,6.7554011042799997e-02,6.7554011042799997e-02,6.7554011042799997e-02
104,0,5.2249999999999996e-01,2.5000000000000001e-03,0.0000000000000000e+00,6.4145278217900004e-02,6.4145278217900004e-02,6.4145278217900004e-02
105,0,5.2749999999999997e-01,2.5000000000000001e-03,0.0000000000000000e+00,6.0270612653499998e-02,6.0270612653499998e-02,6.0270612653499998e-02
106,0,5.3249999999999997e-01,2.5000000000000001e-03,0.0000000000000000e+00,5.6043443622799997e-02,5.6043443622799997e-02,5.6043443622799997e-02
107,0,5.3749999999999998e-01,2.5000000000000001e-03,0.0000000000000000e+00,5.1578902681200002e-02,5.1578902681200002e-02,5.1578902681200002e-02
108,0,5.4249999999999998e-01,2.5000000000000001e-03,0.0000000000000000e+00,4.6988993028100001e-02,4.6988993028100001e-02,4.6988993028100001e-02
109,0,5.4749999999999999e-01,2.5000000000000001e-03,0.0000000000000000e+00,4.2378398002800001e-02,4.2378398002800001e-02,4.2378398002800001e-02
110,0,5.5249999999999999e-01,2.5000000000000001e-03,0.0000000000000000e+00,3.7841109093000001e-02,3.7841109093000001e-02,3.7841109093000001e-02
111,0,5.5750000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,3.3457976094600002e-02,3.3457976094600002e-02,3.3457976094600002e-02
112,0,5.6250000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,2.9295206191600000e-02,2.9295206191600000e-02,2.9295206191600000e-02
113,0,5.6750000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,2.5403771050699998e-02,2.5403771050699998e-02,2.5403771050699998e-02
114,0,5.7250000000000001e-01,2.5000000000000001e-03,0.0000000000000000e+00,2.1819626188099999e-02,2.1819626188099999e-02,2.1819626188099999e-02
115,0,5.7750000000000001e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.8564607570199999e-02,1.8564607570199999e-02,1.8564607570199999e-02
116,0,5.8250000000000002e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.5647847503199998e-02,1.5647847503199998e-02,1.5647847503199998e-02
117,0,5.8750000000000002e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.3067544497500000e-02,1.3067544497500000e-02,1.3067544497500000e-02
118,0,5.9250000000000003e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.0812927865200000e-02,1.0812927865200000e-02,1.0812927865200000e-02
119,0,5.9750000000000003e-01,2.5000000000000001e-03,0.0000000000000000e+00,8.8662743681800008e-03,8.8662743681800008e-03,8.8662743681800008e-03
120,0,6.0250000000000004e-01,2.5000000000000001e-03,0.0000000000000000e+00,7.2048579451299997e-03,7.2048579451299997e-03,7.2048579451299997e-03
121,0,6.0750000000000004e-01,2.5000000000000001e-03,0.0000000000000000e+00,5.8027410992599997e-03,5.8027410992599997e-03,5.8027410992599997e-03
122,0,6.1250000000000004e-01,2.5000000000000001e-03,0.0000000000000000e+00,4.6323449400899998e-03,4.6323449400899998e-03,4.6323449400899998e-03
123,0,6.1750000000000005e-01,2.5000000000000001e-03,0.0000000000000000e+00,3.6657617243199998e-03,3.6657617243199998e-03,3.6657617243199998e-03
124,0,6.2250000000000005e-01,2.5000000000000001e-03,0.0000000000000000e+00,2.8757972665600000e-03,2.8757972665600000e-03,2.8757972665600000e-03
125,0,6.2749999999999995e-01,2.5000000000000001e-03,0.0000000000000000e+00,2.2367497157899999e-03,2.2367497157899999e-03,2.2367497157899999e-03
126,0,6.3249999999999995e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.7249454624199999e-03,1.7249454624199999e-03,1.7249454624199999e-03
127,0,6.3749999999999996e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.3190624197300001e-03,1.3190624197300001e-03,1.3190624197300001e-03
128,0,6.4249999999999996e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.0002760632500001e-03,1.0002760632500001e-03,1.0002760632500001e-03
129,0,6.4749999999999996e-01,2.5000000000000001e-03,0.0000000000000000e+00,7.5226511233699995e-04,7.5226511233699995e-04,7.5226511233699995e-04
130,0,6.5249999999999997e-01,2.5000000000000001e-03,0.0000000000000000e+00,5.6111241946699998e-04,5.6111241946699998e-04,5.6111241946699998e-04
131,0,6.5749999999999997e-01,2.5000000000000001e-03,0.0000000000000000e+00,4.1513333118099998e-04,4.1513333118099998e-04,4.1513333118099998e-04
132,0,6.6249999999999998e-01,2.5000000000000001e-03,0.0000000000000000e+00,3.0465927246800002e-04,3.0465927246800002e-04,3.0465927246800002e-04
133,0,6.6749999999999998e-01,2.5000000000000001e-03,0.0000000000000000e+00,2.2179924181700000e-04,2.2179924181700000e-04,2.2179924181700000e-04
134,0,6.7249999999999999e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.6019680565900000e-04,1.6019680565900000e-04,1.6019680565900000e-04
135,0,6.7749999999999999e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.1479542125900000e-04,1.1479542125900000e-04,1.1479542125900000e-04
136,0,6.8250000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,8.1620734246199995e-05,8.1620734246199995e-05,8.1620734246199995e-05
137,0,6.8750000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,5.7585013327400000e-05,5.7585013327400000e-05,5.7585013327400000e-05
138,0,6.9250000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,4.0316131747700001e-05,4.0316131747700001e-05,4.0316131747700001e-05
139,0,6.9750000000000001e-01,2.5000000000000001e-03,0.0000000000000000e+00,2.8011448533000001e-05,2.8011448533000001e-05,2.8011448533000001e-05
140,0,7.0250000000000001e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.9315505954900000e-05,1.9315505954900000e-05,1.9315505954900000e-05
141,0,7.0750000000000002e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.3219543950100000e-05,1.3219543950100000e-05,1.3219543950100000e-05
142,0,7.1250000000000002e-01,2.5000000000000001e-03,0.0000000000000000e+00,8.9803313095300006e-06,8.9803313095300006e-06,8.9803313095300006e-06
143,0,7.1750000000000003e-01,2.5000000000000001e-03,0.0000000000000000e+00,6.0556250881499998e-06,6.0556250881499998e-06,6.0556250881499998e-06
144,0,7.2250000000000003e-01,2.5000000000000001e-03,0.0000000000000000e+00,4.0536025971800000e-06,4.0536025971800000e-06,4.0536025971800000e-06
145,0,7.2750000000000004e-01,2.5000000000000001e-03,0.0000000000000000e+00,2.6937877755400002e-06,2.6937877755400002e-06,2.6937877755400002e-06
146,0,7.3250000000000004e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.7772547134400000e-06,1.7772547134400000e-06,1.7772547134400000e-06
147,0,7.3750000000000004e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.1641897240600000e-06,1.1641897240600000e-06,1.1641897240600000e-06
148,0,7.4250000000000005e-01,2.5000000000000001e-03,0.0000000000000000e+00,7.5719716436599999e-07,7.5719716436599999e-07,7.5719716436599999e-07
149,0,7.4750000000000005e-01,2.5000000000000001e-03,0.0000000000000000e+00,4.8902190668699999e-07,4.8902190668699999e-07,4.8902190668699999e-07
150,0,7.5249999999999995e-01,2.5000000000000001e-03,0.0000000000000000e+00,3.1362047788099998e-07,3.1362047788099998e-07,3.1362047788099998e-07
151,0,7.5749999999999995e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.9973748562500001e-07,1.9973748562500001e-07,1.9973748562500001e-07
152,0,7.6249999999999996e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.2633270375900000e-07,1.2633270375900000e-07,1.2633270375900000e-07
153,0,7.6749999999999996e-01,2.5000000000000001e-03,0.0000000000000000e+00,7.9358729306700002e-08,7.9358729306700002e-08,7.9358729306700002e-08
154,0,7.7249999999999996e-01,2.5000000000000001e-03,0.0000000000000000e+00,4.9512820000299999e-08,4.9512820000299999e-08,4.9512820000299999e-08
155,0,7.7749999999999997e-01,2.5000000000000001e-03,0.0000000000000000e+00,3.0683556357899997e-08,3.0683556357899997e-08,3.0683556357899997e-08
156,0,7.8249999999999997e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.8887719940800001e-08,1.8887719940800001e-08,1.8887719940800001e-08
157,0,7.8749999999999998e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.1549405199500001e-08,1.1549405199500001e-08,1.1549405199500001e-08
158,0,7.9249999999999998e-01,2.5000000000000001e-03,0.0000000000000000e+00,7.0156206003700000e-09,7.0156206003700000e-09,7.0156206003700000e-09
159,0,7.9749999999999999e-01,2.5000000000000001e-03,0.0000000000000000e+00,4.2336878018599998e-09,4.2336878018599998e-09,4.2336878018599998e-09
160,0,8.0249999999999999e-01,2.5000000000000001e-03,0.0000000000000000e+00,2.5382676346100001e-09,2.5382676346100001e-09,2.5382676346100001e-09
161,0,8.0750000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.5119629945199999e-09,1.5119629945199999e-09,1.5119629945199999e-09
162,0,8.1250000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,8.9484771319500001e-10,8.9484771319500001e-10,8.9484771319500001e-10
163,0,8.1750000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,5.2623547119599999e-10,5.2623547119599999e-10,5.2623547119599999e-10
