cell,x,y,numerical,exact,error,absError
102,2.8125000000000000e-01,1.8750000000000003e-02,6.3341303232894253e-01,6.3329299891270741e-01,1.2003341623512132e-04,1.2003341623512132e-04
103,2.9375000000000001e-01,1.8750000000000003e-02,6.0262332192504753e-01,6.0250914067489303e-01,1.1418125015449920e-04,1.1418125015449920e-04
104,3.0625000000000002e-01,1.8750000000000003e-02,5.7090441339569198e-01,5.7079625701289138e-01,1.0815638280059492e-04,1.0815638280059492e-04
105,3.1875000000000003e-01,1.8750000000000003e-02,5.3830521467008952e-01,5.3820324689471399e-01,1.0196777537552215e-04,1.0196777537552215e-04
106,3.3125000000000004e-01,1.8750000000000003e-02,5.0487599104914627e-01,5.0478036637957446e-01,9.5624669571803267e-05,9.5624669571803267e-05
107,3.4375000000000000e-01,1.8750000000000003e-02,4.7066828769652341e-01,4.7057915112668863e-01,8.9136569834780133e-05,8.9136569834780133e-05
108,3.5625000000000001e-01,1.8750000000000003e-02,4.3573485015668662e-01,4.3565233693102234e-01,8.2513225664271328e-05,8.2513225664271328e-05
109,3.6875000000000002e-01,1.8750000000000003e-02,4.0012954302243592e-01,4.0005377840851986e-01,7.5764613916062817e-05,7.5764613916062817e-05
110,3.8125000000000003e-01,1.8750000000000003e-02,3.6390726687724662e-01,3.6383836595618768e-01,6.8900921058934195e-05,6.8900921058934195e-05
111,3.9375000000000004e-01,1.8750000000000003e-02,3.2712387364044432e-01,3.2706194111508197e-01,6.1932525362351498e-05,6.1932525362351498e-05
112,4.0625000000000000e-01,1.8750000000000003e-02,2.8983608044570269e-01,2.8978121046669919e-01,5.4869979003502323e-05,5.4869979003502323e-05
113,4.1875000000000001e-01,1.8750000000000003e-02,2.5210138218561912e-01,2.5205365819553782e-01,4.7723990081294243e-05,4.7723990081294243e-05
114,4.3125000000000002e-01,1.8750000000000003e-02,2.1397796285719201e-01,2.1393745745265252e-01,4.0505404539481482e-05,4.0505404539481482e-05
115,4.4375000000000003e-01,1.8750000000000003e-02,1.7552460584487031e-01,1.7549138065687148e-01,3.3225187998836558e-05,3.3225187998836558e-05
116,4.5625000000000004e-01,1.8750000000000003e-02,1.3680060327948779e-01,1.3677470887198656e-01,2.5894407501225736e-05,2.5894407501225736e-05
117,4.6875000000000000e-01,1.8750000000000003e-02,9.7865664612831971e-02,9.7847140399649910e-02,1.8524213182061211e-05,1.8524213182061211e-05
118,4.8125000000000001e-01,1.8750000000000003e-02,5.8779824548794338e-02,5.8768698728918774e-02,1.1125819875563991e-05,1.1125819875563991e-05
119,4.9375000000000002e-01,1.8750000000000003e-02,1.9603350473053029e-02,1.9599639984388118e-02,3.7104886649111379e-06,3.7104886649111379e-06
120,5.0624999999999998e-01,1.8750000000000003e-02,-1.9603350475985951e-02,-1.9599639984387997e-02,-3.7104915979538355e-06,3.7104915979538355e-06
121,5.1875000000000004e-01,1.8750000000000003e-02,-5.8779824551722322e-02,-5.8768698728918871e-02,-1.1125822803451091e-05,1.1125822803451091e-05
122,5.3125000000000000e-01,1.8750000000000003e-02,-9.7865664615751635e-02,-9.7847140399649785e-02,-1.8524216101850621e-05,1.8524216101850621e-05
123,5.4375000000000007e-01,1.8750000000000003e-02,-1.3680060328239349e-01,-1.3677470887198664e-01,-2.5894410406845925e-05,2.5894410406845925e-05
124,5.5625000000000002e-01,1.8750000000000003e-02,-1.7552460584775839e-01,-1.7549138065687156e-01,-3.3225190886831957e-05,3.3225190886831957e-05
125,5.6874999999999998e-01,1.8750000000000003e-02,-2.1397796286005749e-01,-2.1393745745265241e-01,-4.0505407405078131e-05,4.0505407405078131e-05
126,5.8125000000000004e-01,1.8750000000000003e-02,-2.5210138218845729e-01,-2.5205365819553793e-01,-4.7723992919357361e-05,4.7723992919357361e-05
127,5.9375000000000000e-01,1.8750000000000003e-02,-2.8983608044851028e-01,-2.8978121046669902e-01,-5.4869981811256352e-05,5.4869981811256352e-05
128,6.0625000000000007e-01,1.8750000000000003e-02,-3.2712387364321649e-01,-3.2706194111508208e-01,-6.1932528134411857e-05,6.1932528134411857e-05
129,6.1875000000000002e-01,1.8750000000000003e-02,-3.6390726687997849e-01,-3.6383836595618779e-01,-6.8900923790693458e-05,6.8900923790693458e-05
130,6.3125000000000009e-01,1.8750000000000003e-02,-4.0012954302512388e-01,-4.0005377840852013e-01,-7.5764616603746227e-05,7.5764616603746227e-05
131,6.4375000000000004e-01,1.8750000000000003e-02,-4.3573485015932661e-01,-4.3565233693102262e-01,-8.2513228303993102e-05,8.2513228303993102e-05
132,6.5625000000000000e-01,1.8750000000000003e-02,-4.7066828769911112e-01,-4.7057915112668852e-01,-8.9136572422598981e-05,8.9136572422598981e-05
133,6.6875000000000007e-01,1.8750000000000003e-02,-5.0487599105167813e-01,-5.0478036637957469e-01,-9.5624672103444830e-05,9.5624672103444830e-05
134,6.8125000000000002e-01,1.8750000000000003e-02,-5.3830521467256176e-01,-5.3820324689471410e-01,-1.0196777784765576e-04,1.0196777784765576e-04
135,6.9375000000000009e-01,1.8750000000000003e-02,-5.7090441339810061e-01,-5.7079625701289161e-01,-1.0815638520900173e-04,1.0815638520900173e-04
136,7.0625000000000004e-01,1.8750000000000003e-02,-6.0262332192738755e-01,-6.0250914067489303e-01,-1.1418125249451627e-04,1.1418125249451627e-04
137,7.1875000000000000e-01,1.8750000000000003e-02,-6.3341303233121138e-01,-6.3329299891270729e-01,-1.2003341850408411e-04,1.2003341850408411e-04
138,7.3125000000000007e-01,1.8750000000000003e-02,-6.6322606946857410e-01,-6.6310036524819083e-01,-1.2570422038327145e-04,1.2570422038327145e-04
