i,j,x,y,initial,numerical,change,absChange
20,2,4.0999999999999998e-01,5.0000000000000003e-02,0.0000000000000000e+00,5.2473205561799997e-02,5.2473205561799997e-02,5.2473205561799997e-02
21,2,4.2999999999999999e-01,5.0000000000000003e-02,0.0000000000000000e+00,5.4728006618900003e-02,5.4728006618900003e-02,5.4728006618900003e-02
22,2,4.5000000000000001e-01,5.0000000000000003e-02,0.0000000000000000e+00,5.6319163302399999e-02,5.6319163302399999e-02,5.6319163302399999e-02
23,2,4.6999999999999997e-01,5.0000000000000003e-02,0.0000000000000000e+00,5.7183889580600000e-02,5.7183889580600000e-02,5.7183889580600000e-02
24,2,4.8999999999999999e-01,5.0000000000000003e-02,0.0000000000000000e+00,5.7288226734100001e-02,5.7288226734100001e-02,5.7288226734100001e-02
25,2,5.1000000000000001e-01,5.0000000000000003e-02,0.0000000000000000e+00,5.6696970387800000e-02,5.6696970387800000e-02,5.6696970387800000e-02
26,2,5.3000000000000003e-01,5.0000000000000003e-02,0.0000000000000000e+00,5.5876315480400000e-02,5.5876315480400000e-02,5.5876315480400000e-02
27,2,5.5000000000000004e-01,5.0000000000000003e-02,0.0000000000000000e+00,5.5413752276100001e-02,5.5413752276100001e-02,5.5413752276100001e-02
28,2,5.6999999999999995e-01,5.0000000000000003e-02,0.0000000000000000e+00,5.5584697980500003e-02,5.5584697980500003e-02,5.5584697980500003e-02
29,2,5.8999999999999997e-01,5.0000000000000003e-02,0.0000000000000000e+00,5.6151080510999998e-02,5.6151080510999998e-02,5.6151080510999998e-02
30,2,6.0999999999999999e-01,5.0000000000000003e-02,0.0000000000000000e+00,5.6463265674400000e-02,5.6463265674400000e-02,5.6463265674400000e-02
31,2,6.3000000000000000e-01,5.0000000000000003e-02,0.0000000000000000e+00,5.5755579626099998e-02,5.5755579626099998e-02,5.5755579626099998e-02
32,2,6.5000000000000002e-01,5.0000000000000003e-02,0.0000000000000000e+00,5.3460053818099998e-02,5.3460053818099998e-02,5.3460053818099998e-02
33,2,6.7000000000000004e-01,5.0000000000000003e-02,0.0000000000000000e+00,4.9399702364600000e-02,4.9399702364600000e-02,4.9399702364600000e-02
34,2,6.8999999999999995e-01,5.0000000000000003e-02,0.0000000000000000e+00,4.3811215660100003e-02,4.3811215660100003e-02,4.3811215660100003e-02
35,2,7.0999999999999996e-01,5.0000000000000003e-02,0.0000000000000000e+00,3.7229611027200002e-02,3.7229611027200002e-02,3.7229611027200002e-02
36,2,7.2999999999999998e-01,5.0000000000000003e-02,0.0000000000000000e+00,3.0309948439900002e-02,3.0309948439900002e-02,3.0309948439900002e-02
37,2,7.5000000000000000e-01,5.0000000000000003e-02,0.0000000000000000e+00,2.3660185697599999e-02,2.3660185697599999e-02,2.3660185697599999e-02
38,2,7.7000000000000002e-01,5.0000000000000003e-02,0.0000000000000000e+00,1.7731174790100002e-02,1.7731174790100002e-02,1.7731174790100002e-02
39,2,7.9000000000000004e-01,5.0000000000000003e-02,0.0000000000000000e+00,1.2775823558800000e-02,1.2775823558800000e-02,1.2775823558800000e-02
40,2,8.1000000000000005e-01,5.0000000000000003e-02,0.0000000000000000e+00,8.8643781754099999e-03,8.8643781754099999e-03,8.8643781754099999e-03
41,2,8.2999999999999996e-01,5.0000000000000003e-02,0.0000000000000000e+00,5.9317865728700002e-03,5.9317865728700002e-03,5.9317865728700002e-03
42,2,8.4999999999999998e-01,5.0000000000000003e-02,0.0000000000000000e+00,3.8339394034800000e-03,3.8339394034800000e-03,3.8339394034800000e-03
43,2,8.7000000000000000e-01,5.0000000000000003e-02,0.0000000000000000e+00,2.3968319010399999e-03,2.3968319010399999e-03,2.3968319010399999e-03
44,2,8.9000000000000001e-01,5.0000000000000003e-02,0.0000000000000000e+00,1.4512246020700001e-03,1.4512246020700001e-03,1.4512246020700001e-03
45,2,9.1000000000000003e-01,5.0000000000000003e-02,0.0000000000000000e+00,8.5206009943300000e-04,8.5206009943300000e-04,8.5206009943300000e-04
46,2,9.3000000000000005e-01,5.0000000000000003e-02,0.0000000000000000e+00,4.8567000072899998e-04,4.8567000072899998e-04,4.8567000072899998e-04
47,2,9.4999999999999996e-01,5.0000000000000003e-02,0.0000000000000000e+00,2.6903577517800001e-04,2.6903577517800001e-04,2.6903577517800001e-04
48,2,9.6999999999999997e-01,5.0000000000000003e-02,0.0000000000000000e+00,1.4497952651000001e-04,1.4497952651000001e-04,1.4497952651000001e-04
49,2,9.8999999999999999e-01,5.0000000000000003e-02,0.0000000000000000e+00,1.5717263608200000e-04,1.5717263608200000e-04,1.5717263608200000e-04
0,3,1.0000000000000000e-02,7.0000000000000007e-02,0.0000000000000000e+00,2.6486446588100000e-05,2.6486446588100000e-05,2.6486446588100000e-05
1,3,2.9999999999999999e-02,7.0000000000000007e-02,0.0000000000000000e+00,1.6033557984199999e-04,1.6033557984199999e-04,1.6033557984199999e-04
2,3,5.0000000000000003e-02,7.0000000000000007e-02,0.0000000000000000e+00,5.2888239779400005e-04,5.2888239779400005e-04,5.2888239779400005e-04
3,3,7.0000000000000007e-02,7.0000000000000007e-02,0.0000000000000000e+00,1.2655994230899999e-03,1.2655994230899999e-03,1.2655994230899999e-03
4,3,8.9999999999999997e-02,7.0000000000000007e-02,0.0000000000000000e+00,2.4681398955600001e-03,2.4681398955600001e-03,2.4681398955600001e-03
5,3,1.1000000000000000e-01,7.0000000000000007e-02,0.0000000000000000e+00,4.1781502747199996e-03,4.1781502747199996e-03,4.1781502747199996e-03
6,3,1.3000000000000000e-01,7.0000000000000007e-02,0.0000000000000000e+00,6.3857339048599996e-03,6.3857339048599996e-03,6.3857339048599996e-03
7,3,1.4999999999999999e-01,7.0000000000000007e-02,0.0000000000000000e+00,9.0481603814699992e-03,9.0481603814699992e-03,9.0481603814699992e-03
8,3,1.7000000000000001e-01,7.0000000000000007e-02,0.0000000000000000e+00,1.2110513569700001e-02,1.2110513569700001e-02,1.2110513569700001e-02
9,3,1.9000000000000000e-01,7.0000000000000007e-02,0.0000000000000000e+00,1.5520427979000001e-02,1.5520427979000001e-02,1.5520427979000001e-02
10,3,2.0999999999999999e-01,7.0000000000000007e-02,0.0000000000000000e+00,1.9234412182000001e-02,1.9234412182000001e-02,1.9234412182000001e-02
11,3,2.3000000000000001e-01,7.0000000000000007e-02,0.0000000000000000e+00,2.3216848619099999e-02,2.3216848619099999e-02,2.3216848619099999e-02
12,3,2.5000000000000000e-01,7.0000000000000007e-02,0.0000000000000000e+00,2.7434283183400000e-02,2.7434283183400000e-02,2.7434283183400000e-02
13,3,2.7000000000000002e-01,7.0000000000000007e-02,0.0000000000000000e+00,3.1847755179499997e-02,3.1847755179499997e-02,3.1847755179499997e-02
14,3,2.8999999999999998e-01,7.0000000000000007e-02,0.0000000000000000e+00,3.6405418030700000e-02,3.6405418030700000e-02,3.6405418030700000e-02
15,3,3.1000000000000000e-01,7.0000000000000007e-02,0.0000000000000000e+00,4.1037043243500000e-02,4.1037043243500000e-02,4.1037043243500000e-02
16,3,3.3000000000000002e-01,7.0000000000000007e-02,0.0000000000000000e+00,4.5651390567699998e-02,4.5651390567699998e-02,4.5651390567699998e-02
17,3,3.4999999999999998e-01,7.0000000000000007e-02,0.0000000000000000e+00,5.0136905312700000e-02,5.0136905312700000e-02,5.0136905312700000e-02
