cell,x,y,numerical,exact,error,absError
87,-2.5000000000000000e-01,-5.5000000000000004e-01,2.8780666404999999e-02,7.9563484867226090e-16,2.8780666404999204e-02,2.8780666404999204e-02
88,-1.4999999999999991e-01,-5.5000000000000004e-01,2.5973396925599999e-02,2.8423313506124546e-15,2.5973396925597157e-02,2.5973396925597157e-02
89,-4.9999999999999933e-02,-5.5000000000000004e-01,2.3668123179900000e-02,5.3722369492657619e-15,2.3668123179894630e-02,2.3668123179894630e-02
90,5.0000000000000044e-02,-5.5000000000000004e-01,2.2749500674400000e-02,5.3722369492657619e-15,2.2749500674394629e-02,2.2749500674394629e-02
91,1.5000000000000013e-01,-5.5000000000000004e-01,2.3307473073500000e-02,2.8423313506124546e-15,2.3307473073497158e-02,2.3307473073497158e-02
92,2.5000000000000000e-01,-5.5000000000000004e-01,2.4506213508300002e-02,7.9563484867226090e-16,2.4506213508299207e-02,2.4506213508299207e-02
93,3.5000000000000009e-01,-5.5000000000000004e-01,2.5532338815999998e-02,1.1783449211194131e-16,2.5532338815999880e-02,2.5532338815999880e-02
94,4.5000000000000018e-01,-5.5000000000000004e-01,2.5798509523000002e-02,9.2331654421334490e-18,2.5798509522999991e-02,2.5798509522999991e-02
95,5.5000000000000004e-01,-5.5000000000000004e-01,2.4939363769000002e-02,3.8277921405078109e-19,2.4939363769000002e-02,2.4939363769000002e-02
96,6.5000000000000013e-01,-5.5000000000000004e-01,2.2814190909400001e-02,8.3958683700365110e-21,2.2814190909400001e-02,2.2814190909400001e-02
97,7.5000000000000000e-01,-5.5000000000000004e-01,1.9572944569900001e-02,9.7432184902769747e-23,1.9572944569900001e-02,1.9572944569900001e-02
98,8.5000000000000009e-01,-5.5000000000000004e-01,1.5944443052999999e-02,5.9821707908763136e-25,1.5944443052999999e-02,1.5944443052999999e-02
99,9.5000000000000018e-01,-5.5000000000000004e-01,3.6387268049500002e-02,1.9432770427472498e-27,3.6387268049500002e-02,3.6387268049500002e-02
100,-9.4999999999999996e-01,-4.4999999999999996e-01,2.2933190581100001e-02,1.1306788335089347e-24,2.2933190581100001e-02,2.2933190581100001e-02
101,-8.4999999999999998e-01,-4.4999999999999996e-01,3.2774166858199998e-02,3.4806740073031823e-22,3.2774166858199998e-02,3.2774166858199998e-02
102,-7.5000000000000000e-01,-4.4999999999999996e-01,3.7520524951099997e-02,5.6690068759495431e-20,3.7520524951099997e-02,3.7520524951099997e-02
103,-6.4999999999999991e-01,-4.4999999999999996e-01,4.1785885759300000e-02,4.8850629354973959e-18,4.1785885759299993e-02,4.1785885759299993e-02
104,-5.5000000000000004e-01,-4.4999999999999996e-01,4.5698175621699998e-02,2.2271675407771426e-16,4.5698175621699776e-02,4.5698175621699776e-02
105,-4.4999999999999996e-01,-4.4999999999999996e-01,4.8221184849400002e-02,5.3722369492657619e-15,4.8221184849394631e-02,4.8221184849394631e-02
106,-3.4999999999999998e-01,-4.4999999999999996e-01,4.8339577167300002e-02,6.8560973632403126e-14,4.8339577167231439e-02,4.8339577167231439e-02
107,-2.5000000000000000e-01,-4.4999999999999996e-01,4.5754298925500002e-02,4.6293321168659839e-13,4.5754298925037067e-02,4.5754298925037067e-02
108,-1.4999999999999991e-01,-4.4999999999999996e-01,4.1688881180999997e-02,1.6537857573889971e-12,4.1688881179346209e-02,4.1688881179346209e-02
109,-4.9999999999999933e-02,-4.4999999999999996e-01,3.8542705905200002e-02,3.1257893102787379e-12,3.8542705902074210e-02,3.8542705902074210e-02
110,5.0000000000000044e-02,-4.4999999999999996e-01,3.8184899988400002e-02,3.1257893102787492e-12,3.8184899985274211e-02,3.8184899985274211e-02
111,1.5000000000000013e-01,-4.4999999999999996e-01,4.0503172869900003e-02,1.6537857573889971e-12,4.0503172868246215e-02,4.0503172868246215e-02
112,2.5000000000000000e-01,-4.4999999999999996e-01,4.3454725361500003e-02,4.6293321168660162e-13,4.3454725361037068e-02,4.3454725361037068e-02
113,3.5000000000000009e-01,-4.4999999999999996e-01,4.5261907391200000e-02,6.8560973632403618e-14,4.5261907391131437e-02,4.5261907391131437e-02
114,4.5000000000000018e-01,-4.4999999999999996e-01,4.5027151814700003e-02,5.3722369492657619e-15,4.5027151814694633e-02,4.5027151814694633e-02
115,5.5000000000000004e-01,-4.4999999999999996e-01,4.2609552221399997e-02,2.2271675407771584e-16,4.2609552221399775e-02,4.2609552221399775e-02
116,6.5000000000000013e-01,-4.4999999999999996e-01,3.8266085801900003e-02,4.8850629354973959e-18,3.8266085801899996e-02,3.8266085801899996e-02
117,7.5000000000000000e-01,-4.4999999999999996e-01,3.2479101002299997e-02,5.6690068759496238e-20,3.2479101002299997e-02,3.2479101002299997e-02
118,8.5000000000000009e-01,-4.4999999999999996e-01,2.6513105313299999e-02,3.4806740073031823e-22,2.6513105313299999e-02,2.6513105313299999e-02
119,9.5000000000000018e-01,-4.4999999999999996e-01,6.1718759886299997e-02,1.1306788335089347e-24,6.1718759886299997e-02,6.1718759886299997e-02
120,-9.4999999999999996e-01,-3.4999999999999998e-01,4.0027780696599999e-02,3.4806740073031823e-22,4.0027780696599999e-02,4.0027780696599999e-02
121,-8.4999999999999998e-01,-3.4999999999999998e-01,4.7376656175300000e-02,1.0714883118062796e-19,4.7376656175300000e-02,4.7376656175300000e-02
122,-7.5000000000000000e-01,-3.4999999999999998e-01,5.2101614499799997e-02,1.7451432091555578e-17,5.2101614499799977e-02,5.2101614499799977e-02
123,-6.4999999999999991e-01,-3.4999999999999998e-01,5.9143948379700002e-02,1.5038144413527101e-15,5.9143948379698497e-02,5.9143948379698497e-02
124,-5.5000000000000004e-01,-3.4999999999999998e-01,6.6636409493099999e-02,6.8560973632403126e-14,6.6636409493031443e-02,6.6636409493031443e-02
125,-4.4999999999999996e-01,-3.4999999999999998e-01,7.2463379949799997e-02,1.6537857573889913e-12,7.2463379948146209e-02,7.2463379948146209e-02
126,-3.4999999999999998e-01,-3.4999999999999998e-01,7.4752681279999997e-02,2.1105763349006473e-11,7.4752681258894227e-02,7.4752681258894227e-02
127,-2.5000000000000000e-01,-3.4999999999999998e-01,7.2369728352800006e-02,1.4250904406111182e-10,7.2369728210290959e-02,7.2369728210290959e-02
128,-1.4999999999999991e-01,-3.4999999999999998e-01,6.6613682553900003e-02,5.0910027930106654e-10,6.6613682044799727e-02,6.6613682044799727e-02
129,-4.9999999999999933e-02,-3.4999999999999998e-01,6.2219089777900000e-02,9.6224084878540298e-10,6.2219088815659150e-02,6.2219088815659150e-02
130,5.0000000000000044e-02,-3.4999999999999998e-01,6.3555143550900001e-02,9.6224084878540649e-10,6.3555142588659158e-02,6.3555142588659158e-02
131,1.5000000000000013e-01,-3.4999999999999998e-01,6.9745810037800005e-02,5.0910027930106654e-10,6.9745809528699729e-02,6.9745809528699729e-02
132,2.5000000000000000e-01,-3.4999999999999998e-01,7.6004616872299993e-02,1.4250904406111182e-10,7.6004616729790947e-02,7.6004616729790947e-02
133,3.5000000000000009e-01,-3.4999999999999998e-01,7.8733502888099993e-02,2.1105763349006550e-11,7.8733502866994223e-02,7.8733502866994223e-02
134,4.5000000000000018e-01,-3.4999999999999998e-01,7.6756460257100007e-02,1.6537857573889913e-12,7.6756460255446218e-02,7.6756460255446218e-02
135,5.5000000000000004e-01,-3.4999999999999998e-01,7.0695595586200005e-02,6.8560973632403618e-14,7.0695595586131449e-02,7.0695595586131449e-02
136,6.5000000000000013e-01,-3.4999999999999998e-01,6.1815160444199997e-02,1.5038144413527101e-15,6.1815160444198491e-02,6.1815160444198491e-02
137,7.5000000000000000e-01,-3.4999999999999998e-01,5.1361691777100003e-02,1.7451432091555825e-17,5.1361691777099983e-02,5.1361691777099983e-02
138,8.5000000000000009e-01,-3.4999999999999998e-01,4.1545782913399998e-02,1.0714883118062871e-19,4.1545782913399998e-02,4.1545782913399998e-02
139,9.5000000000000018e-01,-3.4999999999999998e-01,9.5711015502700003e-02,3.4806740073031823e-22,9.5711015502700003e-02,9.5711015502700003e-02
140,-9.4999999999999996e-01,-2.5000000000000000e-01,6.5436924212499997e-02,5.6690068759495840e-20,6.5436924212499997e-02,6.5436924212499997e-02
141,-8.4999999999999998e-01,-2.5000000000000000e-01,6.3331627956100006e-02,1.7451432091555578e-17,6.3331627956099992e-02,6.3331627956099992e-02
142,-7.5000000000000000e-01,-2.5000000000000000e-01,6.9566099544500007e-02,2.8423313506124349e-15,6.9566099544497162e-02,6.9566099544497162e-02
143,-6.4999999999999991e-01,-2.5000000000000000e-01,8.1838066178400004e-02,2.4492768901348821e-13,8.1838066178155075e-02,8.1838066178155075e-02
144,-5.5000000000000004e-01,-2.5000000000000000e-01,9.5177085525499999e-02,1.1166591014509768e-11,9.5177085514333404e-02,9.5177085514333404e-02
145,-4.4999999999999996e-01,-2.5000000000000000e-01,1.0671912035500000e-01,2.6935365996109834e-10,1.0671912008564634e-01,1.0671912008564634e-01
146,-3.4999999999999998e-01,-2.5000000000000000e-01,1.1369768095400000e-01,3.4375157597820202e-09,1.1369767751648424e-01,1.1369767751648424e-01
147,-2.5000000000000000e-01,-2.5000000000000000e-01,1.1342412483400000e-01,2.3210583610310523e-08,1.1342410162341639e-01,1.1342410162341639e-01
148,-1.4999999999999991e-01,-2.5000000000000000e-01,1.0602979256200000e-01,8.2917646922693518e-08,1.0602970964435307e-01,1.0602970964435307e-01
149,-4.9999999999999933e-02,-2.5000000000000000e-01,9.9290551118000003e-02,1.5672108265923227e-07,9.9290394396917350e-02,9.9290394396917350e-02
150,5.0000000000000044e-02,-2.5000000000000000e-01,1.0436208508900000e-01,1.5672108265923282e-07,1.0436192836791734e-01,1.0436192836791734e-01
151,1.5000000000000013e-01,-2.5000000000000000e-01,1.1809825382500000e-01,8.2917646922693518e-08,1.1809817090735307e-01,1.1809817090735307e-01
152,2.5000000000000000e-01,-2.5000000000000000e-01,1.2954935478700000e-01,2.3210583610310523e-08,1.2954933157641638e-01,1.2954933157641638e-01
153,3.5000000000000009e-01,-2.5000000000000000e-01,1.3223753264900001e-01,3.4375157597820322e-09,1.3223752921148424e-01,1.3223752921148424e-01
