cell,x,y,initial,numerical,exact,error,absError
106,-1.6875000000000000e+00,-4.8125000000000000e+00,5.0693297818130231e-12,3.1405060454900001e-07,2.9491714421517386e-07,1.9133460333826158e-08,1.9133460333826158e-08
107,-1.5625000000000000e+00,-4.8125000000000000e+00,7.6099653293371764e-12,3.9450717593800002e-07,3.6958800833736411e-07,2.4919167600635917e-08,2.4919167600635917e-08
108,-1.4375000000000000e+00,-4.8125000000000000e+00,1.1072434219727765e-11,4.8698935901500000e-07,4.5519332899625563e-07,3.1796030018744368e-08,3.1796030018744368e-08
109,-1.3125000000000000e+00,-4.8125000000000000e+00,1.5614635006662441e-11,5.9072651069200002e-07,5.5097776245745423e-07,3.9748748234545785e-08,3.9748748234545785e-08
110,-1.1875000000000000e+00,-4.8125000000000000e+00,2.1342675564686782e-11,7.0412465573499996e-07,6.5543921026057215e-07,4.8685445474427801e-08,4.8685445474427801e-08
111,-1.0625000000000000e+00,-4.8125000000000000e+00,2.8274451298592032e-11,8.2471323873099999e-07,7.6628607105840721e-07,5.8427167672592780e-08,5.8427167672592780e-08
112,-9.3750000000000000e-01,-4.8125000000000000e+00,3.6305114110291887e-11,9.4916449343100001e-07,8.8045995743099280e-07,6.8704536000007216e-08,6.8704536000007216e-08
113,-8.1250000000000000e-01,-4.8125000000000000e+00,4.5182444525000841e-11,1.0733971709299999e-06,9.9423363827148189e-07,7.9163532658518012e-08,7.9163532658518012e-08
114,-6.8750000000000000e-01,-4.8125000000000000e+00,5.4500431328841390e-11,1.1927674105400000e-06,1.1033859796577346e-06,8.9381430882265411e-08,8.9381430882265411e-08
115,-5.6250000000000000e-01,-4.8125000000000000e+00,6.3717459590742823e-11,1.3023386302100000e-06,1.2034460755009465e-06,9.8892554709053511e-08,9.8892554709053511e-08
116,-4.3750000000000000e-01,-4.8125000000000000e+00,7.2201340768598239e-11,1.3972109621000000e-06,1.2899889020626672e-06,1.0722206003733275e-07,1.0722206003733275e-07
117,-3.1250000000000000e-01,-4.8125000000000000e+00,7.9297659676453066e-11,1.4728807787899999e-06,1.3589562591807254e-06,1.1392451960927460e-07,1.1392451960927460e-07
118,-1.8750000000000000e-01,-4.8125000000000000e+00,8.4411919330738473e-11,1.5255940465700001e-06,1.4069710058384546e-06,1.1862304073154546e-07,1.1862304073154546e-07
119,-6.2500000000000000e-02,-4.8125000000000000e+00,8.7091441283835477e-11,1.5526550345800000e-06,1.4316108544914898e-06,1.2104418008851023e-07,1.2104418008851023e-07
120,6.2500000000000000e-02,-4.8125000000000000e+00,8.7091441283835477e-11,1.5526550345800000e-06,1.4316108544914898e-06,1.2104418008851023e-07,1.2104418008851023e-07
121,1.8750000000000000e-01,-4.8125000000000000e+00,8.4411919330738473e-11,1.5255940465700001e-06,1.4069710058384546e-06,1.1862304073154546e-07,1.1862304073154546e-07
122,3.1250000000000000e-01,-4.8125000000000000e+00,7.9297659676453066e-11,1.4728807787899999e-06,1.3589562591807254e-06,1.1392451960927460e-07,1.1392451960927460e-07
123,4.3750000000000000e-01,-4.8125000000000000e+00,7.2201340768598239e-11,1.3972109621000000e-06,1.2899889020626672e-06,1.0722206003733275e-07,1.0722206003733275e-07
124,5.6250000000000000e-01,-4.8125000000000000e+00,6.3717459590742823e-11,1.3023386302100000e-06,1.2034460755009465e-06,9.8892554709053511e-08,9.8892554709053511e-08
125,6.8750000000000000e-01,-4.8125000000000000e+00,5.4500431328841390e-11,1.1927674105400000e-06,1.1033859796577346e-06,8.9381430882265411e-08,8.9381430882265411e-08
126,8.1250000000000000e-01,-4.8125000000000000e+00,4.5182444525000841e-11,1.0733971709299999e-06,9.9423363827148189e-07,7.9163532658518012e-08,7.9163532658518012e-08
127,9.3750000000000000e-01,-4.8125000000000000e+00,3.6305114110291887e-11,9.4916449343100001e-07,8.8045995743099280e-07,6.8704536000007216e-08,6.8704536000007216e-08
128,1.0625000000000000e+00,-4.8125000000000000e+00,2.8274451298592032e-11,8.2471323873099999e-07,7.6628607105840721e-07,5.8427167672592780e-08,5.8427167672592780e-08
129,1.1875000000000000e+00,-4.8125000000000000e+00,2.1342675564686782e-11,7.0412465573499996e-07,6.5543921026057215e-07,4.8685445474427801e-08,4.8685445474427801e-08
130,1.3125000000000000e+00,-4.8125000000000000e+00,1.5614635006662441e-11,5.9072651069200002e-07,5.5097776245745423e-07,3.9748748234545785e-08,3.9748748234545785e-08
131,1.4375000000000000e+00,-4.8125000000000000e+00,1.1072434219727765e-11,4.8698935901500000e-07,4.5519332899625563e-07,3.1796030018744368e-08,3.1796030018744368e-08
132,1.5625000000000000e+00,-4.8125000000000000e+00,7.6099653293371764e-12,3.9450717593800002e-07,3.6958800833736411e-07,2.4919167600635917e-08,2.4919167600635917e-08
133,1.6875000000000000e+00,-4.8125000000000000e+00,5.0693297818130231e-12,3.1405060454900001e-07,2.9491714421517386e-07,1.9133460333826158e-08,1.9133460333826158e-08
134,1.8125000000000000e+00,-4.8125000000000000e+00,3.2730053036046060e-12,2.4567504765899999e-07,2.3128226575913078e-07,1.4392781899869210e-08,1.4392781899869210e-08
135,1.9375000000000000e+00,-4.8125000000000000e+00,2.0481943823467824e-12,1.8886308263600000e-07,1.7825626886067703e-07,1.0606813775322973e-08,1.0606813775322973e-08
136,2.0625000000000000e+00,-4.8125000000000000e+00,1.2422926899445038e-12,1.4268099981300001e-07,1.3502290758011702e-07,7.6580922328829914e-09,7.6580922328829914e-09
137,2.1875000000000000e+00,-4.8125000000000000e+00,7.3030619755995590e-13,1.0593200643900000e-07,1.0051485835837613e-07,5.4171480806238739e-09,5.4171480806238739e-09
138,2.3125000000000000e+00,-4.8125000000000000e+00,4.1611592816421123e-13,7.7292912236500004e-08,7.3538241316345968e-08,3.7546709201540361e-09,3.7546709201540361e-09
139,2.4375000000000000e+00,-4.8125000000000000e+00,2.2980104088054503e-13,5.5425992685300000e-08,5.2875730338635239e-08,2.5502623466647612e-09,2.5502623466647612e-09
140,2.5625000000000000e+00,-4.8125000000000000e+00,1.2300363341687139e-13,3.9062408550199999e-08,3.7364543784265623e-08,1.6978647659343760e-09,1.6978647659343760e-09
141,2.6875000000000000e+00,-4.8125000000000000e+00,6.3813444367269246e-14,2.7057467161100001e-08,2.5949151050674194e-08,1.1083161104258065e-09,1.1083161104258065e-09
142,2.8125000000000000e+00,-4.8125000000000000e+00,3.2087414926954847e-14,1.8420828316900001e-08,1.7711151152474904e-08,7.0967716442509671e-10,7.0967716442509671e-10
143,2.9375000000000000e+00,-4.8125000000000000e+00,1.5638157087757368e-14,1.2326415809700000e-08,1.1880387060649581e-08,4.4602874905041938e-10,4.4602874905041938e-10
144,3.0625000000000000e+00,-4.8125000000000000e+00,7.3869423547664148e-15,8.1074130560200000e-09,7.8320338528878466e-09,2.7537920313215339e-10,2.7537920313215339e-10
145,3.1875000000000000e+00,-4.8125000000000000e+00,3.3819886514958319e-15,5.2415317268500001e-09,5.0743297630999441e-09,1.6720196375005603e-10,1.6720196375005603e-10
146,3.3125000000000000e+00,-4.8125000000000000e+00,1.5007483668260141e-15,3.3310226667200002e-09,3.2310448274984096e-09,9.9977839221590571e-11,9.9977839221590571e-11
147,3.4375000000000000e+00,-4.8125000000000000e+00,6.4546382952119480e-16,2.0809125358200001e-09,2.0219361873641294e-09,5.8976348455870737e-11,5.8976348455870737e-11
148,3.5625000000000000e+00,-4.8125000000000000e+00,2.6906935560362973e-16,1.2779114011700001e-09,1.2435179880548941e-09,3.4393413115105952e-11,3.4393413115105952e-11
149,3.6875000000000000e+00,-4.8125000000000000e+00,1.0871384706242615e-16,7.7149395708499996e-10,7.5161746666742883e-10,1.9876490417571129e-11,1.9876490417571129e-11
150,3.8125000000000000e+00,-4.8125000000000000e+00,4.2572954207327071e-17,4.5789268444499999e-10,4.4647980657082953e-10,1.1412877874170458e-11,1.1412877874170458e-11
