cell,x,y,numerical,exact,error,absError
38,3.5000000000000000e+00,-1.5000000000000000e+00,1.3981071808800001e-04,8.2848533103191979e-06,1.3152586477768082e-04,1.3152586477768082e-04
39,4.5000000000000000e+00,-1.5000000000000000e+00,7.0581822264600000e-06,3.3582151755495156e-09,7.0548240112844503e-06,7.0548240112844503e-06
40,-4.5000000000000000e+00,-5.0000000000000000e-01,3.9768743052499998e-05,1.2154322367947674e-08,3.9756588730132052e-05,3.9756588730132052e-05
41,-3.5000000000000000e+00,-5.0000000000000000e-01,7.8408772777500003e-04,2.9985207213025176e-05,7.5410252056197480e-04,7.5410252056197480e-04
42,-2.5000000000000000e+00,-5.0000000000000000e-01,1.2074566775900001e-02,6.8748044993149340e-03,5.1997622765850666e-03,5.1997622765850666e-03
43,-1.5000000000000000e+00,-5.0000000000000000e-01,1.2561122552500001e-01,1.6661567347405470e-01,-4.1004447949054695e-02,4.1004447949054695e-02
44,-5.0000000000000000e-01,-5.0000000000000000e-01,6.9553241480700001e-01,6.0302884154080305e-01,9.2503573266196959e-02,9.2503573266196959e-02
45,5.0000000000000000e-01,-5.0000000000000000e-01,6.9553241480700001e-01,6.0302884154080305e-01,9.2503573266196959e-02,9.2503573266196959e-02
46,1.5000000000000000e+00,-5.0000000000000000e-01,1.2561122552500001e-01,1.6661567347405470e-01,-4.1004447949054695e-02,4.1004447949054695e-02
47,2.5000000000000000e+00,-5.0000000000000000e-01,1.2074566775900001e-02,6.8748044993149340e-03,5.1997622765850666e-03,5.1997622765850666e-03
48,3.5000000000000000e+00,-5.0000000000000000e-01,7.8408772777500003e-04,2.9985207213025176e-05,7.5410252056197480e-04,7.5410252056197480e-04
49,4.5000000000000000e+00,-5.0000000000000000e-01,3.9768743052499998e-05,1.2154322367947674e-08,3.9756588730132052e-05,3.9756588730132052e-05
50,-4.5000000000000000e+00,5.0000000000000000e-01,3.9768743052499998e-05,1.2154322367947674e-08,3.9756588730132052e-05,3.9756588730132052e-05
51,-3.5000000000000000e+00,5.0000000000000000e-01,7.8408772777500003e-04,2.9985207213025176e-05,7.5410252056197480e-04,7.5410252056197480e-04
52,-2.5000000000000000e+00,5.0000000000000000e-01,1.2074566775900001e-02,6.8748044993149340e-03,5.1997622765850666e-03,5.1997622765850666e-03
53,-1.5000000000000000e+00,5.0000000000000000e-01,1.2561122552500001e-01,1.6661567347405470e-01,-4.1004447949054695e-02,4.1004447949054695e-02
54,-5.0000000000000000e-01,5.0000000000000000e-01,6.9553241480700001e-01,6.0302884154080305e-01,9.2503573266196959e-02,9.2503573266196959e-02
55,5.0000000000000000e-01,5.0000000000000000e-01,6.9553241480700001e-01,6.0302884154080305e-01,9.2503573266196959e-02,9.2503573266196959e-02
56,1.5000000000000000e+00,5.0000000000000000e-01,1.2561122552500001e-01,1.6661567347405470e-01,-4.1004447949054695e-02,4.1004447949054695e-02
57,2.5000000000000000e+00,5.0000000000000000e-01,1.2074566775900001e-02,6.8748044993149340e-03,5.1997622765850666e-03,5.1997622765850666e-03
58,3.5000000000000000e+00,5.0000000000000000e-01,7.8408772777500003e-04,2.9985207213025176e-05,7.5410252056197480e-04,7.5410252056197480e-04
59,4.5000000000000000e+00,5.0000000000000000e-01,3.9768743052499998e-05,1.2154322367947674e-08,3.9756588730132052e-05,3.9756588730132052e-05
60,-4.5000000000000000e+00,1.5000000000000000e+00,7.0581822264600000e-06,3.3582151755495156e-09,7.0548240112844503e-06,7.0548240112844503e-06
61,-3.5000000000000000e+00,1.5000000000000000e+00,1.3981071808800001e-04,8.2848533103191979e-06,1.3152586477768082e-04,1.3152586477768082e-04
62,-2.5000000000000000e+00,1.5000000000000000e+00,2.1625788803099999e-03,1.8994948545563287e-03,2.6308402575367113e-04,2.6308402575367113e-04
