cell,x,y,initial,numerical,exact,error,absError
101,-2.3125000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,3.3538863163400002e-11,1.5746091044041460e-11,1.7792772119358542e-11,1.7792772119358542e-11
102,-2.1875000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,5.5025908571600001e-11,2.5066495328556685e-11,2.9959413243043315e-11,2.9959413243043315e-11
103,-2.0625000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,8.7112484438100000e-11,3.8558327001158206e-11,4.8554157436941795e-11,4.8554157436941795e-11
104,-1.9375000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,1.3309997894799999e-10,5.7342534788428934e-11,7.5757444159571053e-11,7.5757444159571053e-11
105,-1.8125000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,1.9633594713699999e-10,8.2495949123080475e-11,1.1383999801391951e-10,1.1383999801391951e-10
106,-1.6875000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,2.7973225917000001e-10,1.1489080865194142e-10,1.6484145051805858e-10,1.6484145051805858e-10
107,-1.5625000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,3.8518297497999999e-10,1.5501601168063903e-10,2.3016696329936096e-10,2.3016696329936096e-10
108,-1.4375000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,5.1298665882900002e-10,2.0281248574315961e-10,3.1017417308584043e-10,3.1017417308584043e-10
109,-1.3125000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,6.6141028390500004e-10,2.5756022181208723e-10,4.0385006209291281e-10,4.0385006209291281e-10
110,-1.1875000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,8.2652801861300000e-10,3.1784985004082912e-10,5.0867816857217093e-10,5.0867816857217093e-10
111,-1.0625000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,1.0024192260900000e-09,3.8165638285390061e-10,6.2076284323609937e-10,6.2076284323609937e-10
112,-9.3750000000000000e-01,-4.8125000000000000e+00,0.0000000000000000e+00,1.1817238487100000e-09,4.4650991732331783e-10,7.3521393138668219e-10,7.3521393138668219e-10
113,-8.1250000000000000e-01,-4.8125000000000000e+00,0.0000000000000000e+00,1.3564549438400000e-09,5.0973398604781463e-10,8.4672095779218534e-10,8.4672095779218534e-10
114,-6.8750000000000000e-01,-4.8125000000000000e+00,0.0000000000000000e+00,1.5188914956300000e-09,5.6870455794090867e-10,9.5018693768909148e-10,9.5018693768909148e-10
115,-5.6250000000000000e-01,-4.8125000000000000e+00,0.0000000000000000e+00,1.6623492198400001e-09,6.2107767410897715e-10,1.0412715457310230e-09,1.0412715457310230e-09
116,-4.3750000000000000e-01,-4.8125000000000000e+00,0.0000000000000000e+00,1.7816649026200000e-09,6.6494368006637766e-10,1.1167212225536223e-09,1.1167212225536223e-09
117,-3.1250000000000000e-01,-4.8125000000000000e+00,0.0000000000000000e+00,1.8733195658700000e-09,6.9888824704732133e-10,1.1744313188226785e-09,1.1744313188226785e-09
118,-1.8750000000000000e-01,-4.8125000000000000e+00,0.0000000000000000e+00,1.9352369946800002e-09,7.2196785791857413e-10,1.2132691367614260e-09,1.2132691367614260e-09
119,-6.2500000000000000e-02,-4.8125000000000000e+00,0.0000000000000000e+00,1.9663892894500000e-09,7.3363130048984817e-10,1.2327579889601518e-09,1.2327579889601518e-09
120,6.2500000000000000e-02,-4.8125000000000000e+00,0.0000000000000000e+00,1.9663892894500000e-09,7.3363130048984817e-10,1.2327579889601518e-09,1.2327579889601518e-09
121,1.8750000000000000e-01,-4.8125000000000000e+00,0.0000000000000000e+00,1.9352369946800002e-09,7.2196785791857413e-10,1.2132691367614260e-09,1.2132691367614260e-09
122,3.1250000000000000e-01,-4.8125000000000000e+00,0.0000000000000000e+00,1.8733195658700000e-09,6.9888824704732133e-10,1.1744313188226785e-09,1.1744313188226785e-09
123,4.3750000000000000e-01,-4.8125000000000000e+00,0.0000000000000000e+00,1.7816649026200000e-09,6.6494368006637766e-10,1.1167212225536223e-09,1.1167212225536223e-09
124,5.6250000000000000e-01,-4.8125000000000000e+00,0.0000000000000000e+00,1.6623492198400001e-09,6.2107767410897715e-10,1.0412715457310230e-09,1.0412715457310230e-09
125,6.8750000000000000e-01,-4.8125000000000000e+00,0.0000000000000000e+00,1.5188914956300000e-09,5.6870455794090867e-10,9.5018693768909148e-10,9.5018693768909148e-10
126,8.1250000000000000e-01,-4.8125000000000000e+00,0.0000000000000000e+00,1.3564549438400000e-09,5.0973398604781463e-10,8.4672095779218534e-10,8.4672095779218534e-10
127,9.3750000000000000e-01,-4.8125000000000000e+00,0.0000000000000000e+00,1.1817238487100000e-09,4.4650991732331783e-10,7.3521393138668219e-10,7.3521393138668219e-10
128,1.0625000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,1.0024192260900000e-09,3.8165638285390061e-10,6.2076284323609937e-10,6.2076284323609937e-10
129,1.1875000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,8.2652801861300000e-10,3.1784985004082912e-10,5.0867816857217093e-10,5.0867816857217093e-10
130,1.3125000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,6.6141028390500004e-10,2.5756022181208723e-10,4.0385006209291281e-10,4.0385006209291281e-10
