y,u
-1.9245283018867925,0.0035413140173619125
-1.9056603773584906,0.0003129723802171925
-1.8867924528301887,-0.0034218731203890223
-1.8679245283018868,-0.007539168411465281
-1.849056603773585,-0.012038592456714108
-1.830188679245283,-0.01717202354344209
-1.8113207547169812,-0.022846735747773256
-1.7924528301886793,-0.029000889027115194
-1.7735849056603774,-0.03591927775583411
-1.7547169811320755,-0.043306339515652145
-1.7358490566037736,-0.05134992325567904
-1.7169811320754718,-0.06017132356573754
-1.6981132075471699,-0.06934370874975174
-1.679245283018868,-0.07959545279632577
-1.6603773584905661,-0.09048243106878893
-1.6415094339622642,-0.10232086879763613
-1.6226415094339623,-0.11415930652648333
-1.6037735849056605,-0.12712679942124253
-1.5849056603773586,-0.14050484666511254
-1.5660377358490567,-0.15473383725312
-1.5471698113207548,-0.16960627037161502
-1.528301886792453,-0.18480749692294038
-1.509433962264151,-0.2003064285110551
-1.4905660377358492,-0.21584454868133277
-1.4716981132075473,-0.23166620976794697
-1.4528301886792454,-0.24703614994261505
-1.4339622641509435,-0.2625102769006731
-1.4150943396226416,-0.27747569240959585
-1.3962264150943398,-0.29150311156032405
-1.3773584905660379,-0.3049955159582444
-1.358490566037736,-0.31736770856383245
-1.339622641509434,-0.3285755021180048
-1.3207547169811322,-0.337772697316581
-1.3018867924528303,-0.34645009876971167
-1.2830188679245285,-0.35293407460985143
-1.2641509433962266,-0.35722315182136466
-1.2452830188679247,-0.3608119582250111
-1.2264150943396228,-0.361910199515768
-1.207547169811321,-0.360994363759099
-1.1886792452830188,-0.3582436060268718
-1.169811320754717,-0.35524023156344575
-1.150943396226415,-0.3495422786416826
-1.1320754716981132,-0.34217221183480473
-1.1132075471698113,-0.33397953471758707
-1.0943396226415094,-0.3242095705703636
-1.0754716981132075,-0.31315977568558623
-1.0566037735849056,-0.3014188783917412
-1.0377358490566038,-0.28928698648981443
-1.0188679245283019,-0.27605618756177297
-1.0,-0.26214905086777024
-0.9811320754716983,-0.247966606121734
-0.9622641509433962,-0.23325743296594026
-0.9433962264150946,-0.21817589392171782
-0.9245283018867925,-0.2029864436439072
-0.9056603773584908,-0.18763558845135436
-0.8867924528301887,-0.17203624001593015
-0.867924528301887,-0.1563169278882045
-0.8490566037735849,-0.14058935361785965
-0.8301886792452833,-0.12470479863905849
-0.8113207547169812,-0.10882192602047838
-0.7924528301886795,-0.09276976552048755
-0.7735849056603774,-0.0766719119056791
-0.7547169811320757,-0.060597007275726464
-0.7358490566037736,-0.044400630344636594
-0.716981132075472,-0.028094579273391616
-0.6981132075471699,-0.011780369327132296
-0.6792452830188682,0.004610610612996456
-0.6603773584905661,0.021001590553125594
-0.6415094339622645,0.037452113289146854
-0.6226415094339623,0.05393469535608126
-0.6037735849056607,0.07042602820304017
-0.5849056603773586,0.08690552184461021
-0.5660377358490565,0.10330834711105841
-0.5471698113207548,0.11959396461806453
-0.5283018867924527,0.13607209887224492
-0.509433962264151,0.15223063850009544
-0.49056603773584895,0.16805824220077534
-0.4716981132075473,0.18398943149882072
-0.4528301886792452,0.19961297490788854
-0.4339622641509435,0.21487024095848545
-0.4150943396226414,0.22981752070281947
-0.39622641509433976,0.24459159579903583
-0.37735849056603765,0.2588956045475172
-0.358490566037736,0.27280464583699215
-0.3396226415094339,0.28671368712646744
-0.3207547169811322,0.30036939620147207
-0.3018867924528301,0.31400129690933204
-0.28301886792452846,0.32827197299822775
-0.26415094339622636,0.34343922091377554
-0.2452830188679247,0.3602672778060278
-0.2264150943396226,0.3802843749721332
-0.20754716981132093,0.4003014721382381
-0.18867924528301883,0.42666657361806937
-0.16981132075471717,0.4597613846482201
-0.15094339622641506,0.4966931010574932
-0.1320754716981134,0.544358485900394
-0.1132075471698113,0.5969727526625817
-0.09433962264150964,0.6579762788137116
-0.07547169811320753,0.7201457630823929
-0.05660377358490587,0.7776148387967345
-0.037735849056603765,0.8262741413118067
-0.018867924528302105,0.753205392307
0.0,1.0
