cell,x,y,numerical,exact,error,absError
95,1.9375000000000001e-01,1.8750000000000003e-02,2.2917275808800001e-17,4.9809671334970974e-35,2.2917275808800001e-17,2.2917275808800001e-17
96,2.0625000000000002e-01,1.8750000000000003e-02,2.2917275808800001e-17,5.0594357758728798e-35,2.2917275808800001e-17,2.2917275808800001e-17
97,2.1875000000000000e-01,1.8750000000000003e-02,2.2917275808800001e-17,5.1067113142572826e-35,2.2917275808800001e-17,2.2917275808800001e-17
98,2.3125000000000001e-01,1.8750000000000003e-02,2.2917275808800001e-17,5.1225022792354564e-35,2.2917275808800001e-17,2.2917275808800001e-17
99,2.4375000000000002e-01,1.8750000000000003e-02,2.2917275808800001e-17,5.1067113142572815e-35,2.2917275808800001e-17,2.2917275808800001e-17
100,2.5625000000000003e-01,1.8750000000000003e-02,2.2917275808800001e-17,5.0594357758728787e-35,2.2917275808800001e-17,2.2917275808800001e-17
101,2.6874999999999999e-01,1.8750000000000003e-02,2.2917275808800001e-17,4.9809671334970952e-35,2.2917275808800001e-17,2.2917275808800001e-17
102,2.8125000000000000e-01,1.8750000000000003e-02,2.2917275808800001e-17,4.8717891724036561e-35,2.2917275808800001e-17,2.2917275808800001e-17
103,2.9375000000000001e-01,1.8750000000000003e-02,2.2917275808800001e-17,4.7325750110280526e-35,2.2917275808800001e-17,2.2917275808800001e-17
104,3.0625000000000002e-01,1.8750000000000003e-02,2.2917275808800001e-17,4.5641829509685773e-35,2.2917275808800001e-17,2.2917275808800001e-17
105,3.1875000000000003e-01,1.8750000000000003e-02,2.2917275808800001e-17,4.3676511852715317e-35,2.2917275808800001e-17,2.2917275808800001e-17
106,3.3125000000000004e-01,1.8750000000000003e-02,2.2917275808800001e-17,4.1441913976258858e-35,2.2917275808800001e-17,2.2917275808800001e-17
107,3.4375000000000000e-01,1.8750000000000003e-02,2.2917275808800001e-17,3.8951812919303935e-35,2.2917275808800001e-17,2.2917275808800001e-17
108,3.5625000000000001e-01,1.8750000000000003e-02,2.2917275808800001e-17,3.6221560982909387e-35,2.2917275808800001e-17,2.2917275808800001e-17
109,3.6875000000000002e-01,1.8750000000000003e-02,2.2917275808800001e-17,3.3267991078163844e-35,2.2917275808800001e-17,2.2917275808800001e-17
110,3.8125000000000003e-01,1.8750000000000003e-02,2.2917275808800001e-17,3.0109312945691795e-35,2.2917275808800001e-17,2.2917275808800001e-17
111,3.9375000000000004e-01,1.8750000000000003e-02,2.2917275808800001e-17,2.6765000886546989e-35,2.2917275808800001e-17,2.2917275808800001e-17
112,4.0625000000000000e-01,1.8750000000000003e-02,2.2917275808800001e-17,2.3255673696670664e-35,2.2917275808800001e-17,2.2917275808800001e-17
113,4.1875000000000001e-01,1.8750000000000003e-02,2.2917275808800001e-17,1.9602967545158204e-35,2.2917275808800001e-17,2.2917275808800001e-17
114,4.3125000000000002e-01,1.8750000000000003e-02,2.2917275808800001e-17,1.5829402580081565e-35,2.2917275808800001e-17,2.2917275808800001e-17
