cell,x,y,z,volume,initial,numerical,change,absChange
4948,2.4333333333400001e-01,7.4333333333300000e-01,5.0000000000000003e-02,4.9999999999900003e-06,0.0000000000000000e+00,7.8075369847400003e-02,7.8075369847400003e-02,7.8075369847400003e-02
4949,2.4666666666699999e-01,7.4666666666699999e-01,5.0000000000000003e-02,4.9999999999900003e-06,0.0000000000000000e+00,8.1335535611000001e-02,8.1335535611000001e-02,8.1335535611000001e-02
4950,2.4666666666699999e-01,7.5333333333300001e-01,5.0000000000000003e-02,4.9999999999900003e-06,0.0000000000000000e+00,8.4840385824200004e-02,8.4840385824200004e-02,8.4840385824200004e-02
4951,2.4333333333400001e-01,7.5666666666700000e-01,5.0000000000000003e-02,4.9999999999900003e-06,0.0000000000000000e+00,6.5889722294999994e-02,6.5889722294999994e-02,6.5889722294999994e-02
4952,2.4333333333400001e-01,7.6333333333300002e-01,5.0000000000000003e-02,4.9999999999900003e-06,0.0000000000000000e+00,7.1715880578800004e-02,7.1715880578800004e-02,7.1715880578800004e-02
4953,2.4666666666699999e-01,7.6666666666700001e-01,5.0000000000000003e-02,4.9999999999900003e-06,0.0000000000000000e+00,7.4854100255600006e-02,7.4854100255600006e-02,7.4854100255600006e-02
4954,2.4666666666699999e-01,7.7333333333300003e-01,5.0000000000000003e-02,4.9999999999900003e-06,0.0000000000000000e+00,7.7641547560600002e-02,7.7641547560600002e-02,7.7641547560600002e-02
4955,2.4333333333400001e-01,7.7666666666700002e-01,5.0000000000000003e-02,4.9999999999900003e-06,0.0000000000000000e+00,6.0154275891699999e-02,6.0154275891699999e-02,6.0154275891699999e-02
4956,2.4333333333400001e-01,7.8333333333300004e-01,5.0000000000000003e-02,4.9999999999900003e-06,0.0000000000000000e+00,6.4444098757899998e-02,6.4444098757899998e-02,6.4444098757899998e-02
4957,2.4666666666699999e-01,7.8666666666700003e-01,5.0000000000000003e-02,4.9999999999900003e-06,0.0000000000000000e+00,6.7308074966600004e-02,6.7308074966600004e-02,6.7308074966600004e-02
4958,2.4666666666699999e-01,7.9333333333300005e-01,5.0000000000000003e-02,4.9999999999900003e-06,0.0000000000000000e+00,6.9263337397899999e-02,6.9263337397899999e-02,6.9263337397899999e-02
4959,2.4333333333400001e-01,7.9666666666700003e-01,5.0000000000000003e-02,4.9999999999900003e-06,0.0000000000000000e+00,5.3517096147699998e-02,5.3517096147699998e-02,5.3517096147699998e-02
4960,2.4333333333400001e-01,8.0333333333300005e-01,5.0000000000000003e-02,4.9999999999900003e-06,0.0000000000000000e+00,5.6285943189299997e-02,5.6285943189299997e-02,5.6285943189299997e-02
4961,2.4666666666699999e-01,8.0666666666700004e-01,5.0000000000000003e-02,4.9999999999900003e-06,0.0000000000000000e+00,5.8779708354000003e-02,5.8779708354000003e-02,5.8779708354000003e-02
4962,2.4666666666699999e-01,8.1333333333299995e-01,5.0000000000000003e-02,4.9999999999900003e-06,0.0000000000000000e+00,5.9887698649400002e-02,5.9887698649400002e-02,5.9887698649400002e-02
4963,2.4333333333400001e-01,8.1666666666599996e-01,5.0000000000000003e-02,4.9999999999900003e-06,0.0000000000000000e+00,4.6162115253000000e-02,4.6162115253000000e-02,4.6162115253000000e-02
4964,2.4333333333400001e-01,8.2333333333299996e-01,5.0000000000000003e-02,4.9999999999900003e-06,0.0000000000000000e+00,4.7567571620999997e-02,4.7567571620999997e-02,4.7567571620999997e-02
4965,2.4666666666699999e-01,8.2666666666599997e-01,5.0000000000000003e-02,4.9999999999900003e-06,0.0000000000000000e+00,4.9646998858499998e-02,4.9646998858499998e-02,4.9646998858499998e-02
4966,2.4666666666699999e-01,8.3333333333299997e-01,5.0000000000000003e-02,4.9999999999900003e-06,0.0000000000000000e+00,4.9995800312000002e-02,4.9995800312000002e-02,4.9995800312000002e-02
4967,2.4333333333400001e-01,8.3666666666599998e-01,5.0000000000000003e-02,4.9999999999900003e-06,0.0000000000000000e+00,3.8484984107700002e-02,3.8484984107700002e-02,3.8484984107700002e-02
4968,2.4333333333400001e-01,8.4333333333299998e-01,5.0000000000000003e-02,4.9999999999900003e-06,0.0000000000000000e+00,3.8806076777600000e-02,3.8806076777600000e-02,3.8806076777600000e-02
4969,2.4666666666699999e-01,8.4666666666599999e-01,5.0000000000000003e-02,4.9999999999900003e-06,0.0000000000000000e+00,4.0471508248100002e-02,4.0471508248100002e-02,4.0471508248100002e-02
4970,2.4666666666699999e-01,8.5333333333299999e-01,5.0000000000000003e-02,4.9999999999900003e-06,0.0000000000000000e+00,4.0233345850399997e-02,4.0233345850399997e-02,4.0233345850399997e-02
4971,2.4333333333400001e-01,8.5666666666600000e-01,5.0000000000000003e-02,4.9999999999900003e-06,0.0000000000000000e+00,3.1022068910500002e-02,3.1022068910500002e-02,3.1022068910500002e-02
4972,2.4333333333400001e-01,8.6333333333300000e-01,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,3.0624418038199999e-02,3.0624418038199999e-02,3.0624418038199999e-02
4973,2.4666666666699999e-01,8.6666666666600001e-01,5.0000000000000003e-02,5.0000000000000004e-06,0.0000000000000000e+00,3.1913590506199997e-02,3.1913590506199997e-02,3.1913590506199997e-02
4974,2.4666666666699999e-01,8.7333333333300001e-01,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,3.1322986021100001e-02,3.1322986021100001e-02,3.1322986021100001e-02
4975,2.4333333333400001e-01,8.7666666666600002e-01,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,2.4353556898700002e-02,2.4353556898700002e-02,2.4353556898700002e-02
4976,2.4333333333400001e-01,8.8333333333300001e-01,5.0000000000000003e-02,5.0000000000299998e-06,0.0000000000000000e+00,2.3633982382199999e-02,2.3633982382199999e-02,2.3633982382199999e-02
4977,2.4666666666800000e-01,8.8666666666600003e-01,5.0000000000000003e-02,5.0000000000299998e-06,0.0000000000000000e+00,2.4612793847099999e-02,2.4612793847099999e-02,2.4612793847099999e-02
4978,2.4666666666800000e-01,8.9333333333300002e-01,5.0000000000000003e-02,5.0000000000399998e-06,0.0000000000000000e+00,2.3924322757400002e-02,2.3924322757400002e-02,2.3924322757400002e-02
4979,2.4333333333400001e-01,8.9666666666600003e-01,5.0000000000000003e-02,5.0000000000399998e-06,0.0000000000000000e+00,1.8787797130800001e-02,1.8787797130800001e-02,1.8787797130800001e-02
4980,2.4333333333400001e-01,9.0333333333300003e-01,5.0000000000000003e-02,5.0000000000399998e-06,0.0000000000000000e+00,1.7975011589700000e-02,1.7975011589700000e-02,1.7975011589700000e-02
4981,2.4666666666800000e-01,9.0666666666600004e-01,5.0000000000000003e-02,5.0000000000399998e-06,0.0000000000000000e+00,1.8709412294499999e-02,1.8709412294499999e-02,1.8709412294499999e-02
4982,2.4666666666800000e-01,9.1333333333300004e-01,5.0000000000000003e-02,5.0000000000399998e-06,0.0000000000000000e+00,1.8018357642899999e-02,1.8018357642899999e-02,1.8018357642899999e-02
4983,2.4333333333400001e-01,9.1666666666600005e-01,5.0000000000000003e-02,5.0000000000399998e-06,0.0000000000000000e+00,1.3855810014000000e-02,1.3855810014000000e-02,1.3855810014000000e-02
4984,2.4333333333400001e-01,9.2333333333300005e-01,5.0000000000000003e-02,5.0000000000399998e-06,0.0000000000000000e+00,1.2744788538100000e-02,1.2744788538100000e-02,1.2744788538100000e-02
4985,2.4666666666800000e-01,9.2666666666599995e-01,5.0000000000000003e-02,5.0000000000399998e-06,0.0000000000000000e+00,1.3255161131899999e-02,1.3255161131899999e-02,1.3255161131899999e-02
4986,2.4666666666800000e-01,9.3333333333299995e-01,5.0000000000000003e-02,5.0000000000399998e-06,0.0000000000000000e+00,1.2307428539000000e-02,1.2307428539000000e-02,1.2307428539000000e-02
4987,2.4333333333400001e-01,9.3666666666599996e-01,5.0000000000000003e-02,5.0000000000399998e-06,0.0000000000000000e+00,8.6797144343000003e-03,8.6797144343000003e-03,8.6797144343000003e-03
4988,2.4333333333400001e-01,9.4333333333299996e-01,5.0000000000000003e-02,5.0000000000399998e-06,0.0000000000000000e+00,7.0642211212799998e-03,7.0642211212799998e-03,7.0642211212799998e-03
4989,2.4666666666800000e-01,9.4666666666599997e-01,5.0000000000000003e-02,5.0000000000399998e-06,0.0000000000000000e+00,7.3374377578000003e-03,7.3374377578000003e-03,7.3374377578000003e-03
4990,2.4666666666800000e-01,9.5333333333299997e-01,5.0000000000000003e-02,5.0000000000399998e-06,0.0000000000000000e+00,6.0468289493299998e-03,6.0468289493299998e-03,6.0468289493299998e-03
