i,j,x,y,numerical,exact,error,absError
4,7,4.5000000000000001e-01,7.5000000000000000e-01,4.2547107412500000e-02,9.5105651629515964e-01,-9.0850940888265963e-01,9.0850940888265963e-01
5,7,5.5000000000000004e-01,7.5000000000000000e-01,3.2165201900299999e-02,9.5105651629514754e-01,-9.1889131439484750e-01,9.1889131439484750e-01
6,7,6.5000000000000002e-01,7.5000000000000000e-01,9.4972825171099999e-03,5.8778525229245759e-01,-5.7828796977534758e-01,5.7828796977534758e-01
7,7,7.5000000000000000e-01,7.5000000000000000e-01,-1.6798275986800001e-02,-1.9662389913317490e-14,-1.6798275986780339e-02,1.6798275986780339e-02
8,7,8.4999999999999998e-01,7.5000000000000000e-01,-3.6677464016200000e-02,-5.8778525229248935e-01,5.5110778827628937e-01,5.5110778827628937e-01
9,7,9.4999999999999996e-01,7.5000000000000000e-01,-4.2547107412500000e-02,-9.5105651629515953e-01,9.0850940888265952e-01,9.0850940888265952e-01
0,8,5.0000000000000003e-02,8.4999999999999998e-01,-9.4972825171099999e-03,-5.8778525229245782e-01,5.7828796977534780e-01,5.7828796977534780e-01
1,8,1.4999999999999999e-01,8.4999999999999998e-01,1.6798275986800001e-02,1.9784854593232225e-14,1.6798275986780214e-02,1.6798275986780214e-02
2,8,2.5000000000000000e-01,8.4999999999999998e-01,3.6677464016200000e-02,5.8778525229248979e-01,-5.5110778827628981e-01,5.5110778827628981e-01
3,8,3.4999999999999998e-01,8.4999999999999998e-01,4.2547107412500000e-02,9.5105651629515964e-01,-9.0850940888265963e-01,9.0850940888265963e-01
4,8,4.5000000000000001e-01,8.4999999999999998e-01,3.2165201900299999e-02,9.5105651629514754e-01,-9.1889131439484750e-01,9.1889131439484750e-01
5,8,5.5000000000000004e-01,8.4999999999999998e-01,9.4972825171099999e-03,5.8778525229245759e-01,-5.7828796977534758e-01,5.7828796977534758e-01
6,8,6.5000000000000002e-01,8.4999999999999998e-01,-1.6798275986800001e-02,-1.9662389913317490e-14,-1.6798275986780339e-02,1.6798275986780339e-02
7,8,7.5000000000000000e-01,8.4999999999999998e-01,-3.6677464016200000e-02,-5.8778525229248935e-01,5.5110778827628937e-01,5.5110778827628937e-01
8,8,8.4999999999999998e-01,8.4999999999999998e-01,-4.2547107412500000e-02,-9.5105651629515953e-01,9.0850940888265952e-01,9.0850940888265952e-01
9,8,9.4999999999999996e-01,8.4999999999999998e-01,-3.2165201900299999e-02,-9.5105651629514787e-01,9.1889131439484784e-01,9.1889131439484784e-01
0,9,5.0000000000000003e-02,9.4999999999999996e-01,1.6798275986800001e-02,1.9784854593232225e-14,1.6798275986780214e-02,1.6798275986780214e-02
1,9,1.4999999999999999e-01,9.4999999999999996e-01,3.6677464016200000e-02,5.8778525229248835e-01,-5.5110778827628837e-01,5.5110778827628837e-01
2,9,2.5000000000000000e-01,9.4999999999999996e-01,4.2547107412500000e-02,9.5105651629515964e-01,-9.0850940888265963e-01,9.0850940888265963e-01
3,9,3.4999999999999998e-01,9.4999999999999996e-01,3.2165201900299999e-02,9.5105651629514776e-01,-9.1889131439484772e-01,9.1889131439484772e-01
4,9,4.5000000000000001e-01,9.4999999999999996e-01,9.4972825171099999e-03,5.8778525229245759e-01,-5.7828796977534758e-01,5.7828796977534758e-01
5,9,5.5000000000000004e-01,9.4999999999999996e-01,-1.6798275986800001e-02,-1.9662389913317490e-14,-1.6798275986780339e-02,1.6798275986780339e-02
6,9,6.5000000000000002e-01,9.4999999999999996e-01,-3.6677464016200000e-02,-5.8778525229248935e-01,5.5110778827628937e-01,5.5110778827628937e-01
7,9,7.5000000000000000e-01,9.4999999999999996e-01,-4.2547107412500000e-02,-9.5105651629515953e-01,9.0850940888265952e-01,9.0850940888265952e-01
8,9,8.4999999999999998e-01,9.4999999999999996e-01,-3.2165201900299999e-02,-9.5105651629514787e-01,9.1889131439484784e-01,9.1889131439484784e-01
9,9,9.4999999999999996e-01,9.4999999999999996e-01,-9.4972825171099999e-03,-5.8778525229245771e-01,5.7828796977534769e-01,5.7828796977534769e-01
